,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,136.5,137.0,135.5625,135.5625,90.3183258389,4006500,0.0000,1.0
1999-11-02,135.968704,137.25,134.593704,134.593704,89.6728668602,6516900,0.0000,1.0
1999-11-03,136.0,136.375,135.125,135.5,90.2766853014,7222300,0.0000,1.0
1999-11-04,136.75,137.359299,135.765594,136.531204,90.9637235227,7907500,0.0000,1.0
1999-11-05,138.625,139.109299,136.781204,137.875,91.8590257264,7431500,0.0000,1.0
1999-11-08,137.0,138.375,136.75,138.0,91.9423068014,4649200,0.0000,1.0
1999-11-09,138.5,138.6875,136.281204,136.703094,91.0782449945,4533700,0.0000,1.0
1999-11-10,136.25,138.390594,136.078094,137.718704,91.7548937352,6405600,0.0000,1.0
1999-11-11,138.1875,138.5,137.468704,138.5,92.2754311014,4794100,0.0000,1.0
1999-11-12,139.25,139.984299,137.125,139.75,93.1082418514,11802900,0.0000,1.0
1999-11-15,139.843704,140.25,139.406204,140.078094,93.3268340196,2187500,0.0000,1.0
1999-11-16,140.5625,143.0,140.093704,141.25,94.1076147514,7544800,0.0000,1.0
1999-11-17,142.25,142.9375,141.3125,141.625,94.3574579764,9459000,0.0000,1.0
1999-11-18,142.4375,143.0,141.625,142.625,95.0237065764,4491000,0.0000,1.0
1999-11-19,142.406204,142.968704,142.0,142.5,94.9404255014,4832100,0.0000,1.0
1999-11-22,142.4375,143.0,141.5,142.468704,94.9195745852,4155400,0.0000,1.0
1999-11-23,142.843704,142.843704,140.375,141.218704,94.0867638352,5918000,0.0000,1.0
1999-11-24,140.75,142.4375,140.0,141.968704,94.5864502852,4459700,0.0000,1.0
1999-11-26,142.468704,142.875,141.25,141.4375,94.2325363639,1693900,0.0000,1.0
1999-11-29,140.875,141.921799,140.4375,140.9375,93.8994120639,7348600,0.0000,1.0
1999-11-30,140.75,142.3125,139.0,139.281204,92.7959071727,7682000,0.0000,1.0
1999-12-01,139.3125,140.5,139.0,140.406204,93.5454368477,6980200,0.0000,1.0
1999-12-02,140.625,141.375,140.375,141.25,94.1076147514,6698300,0.0000,1.0
1999-12-03,143.031204,145.343704,143.031204,143.843704,95.8356664103,10045400,0.0000,1.0
