Date,TRN,BDN,CMC,NYT,LEG,VNO,HLX,ORI,HP,EQC,MTOR,DKS,SEE,EAT,AGCO,AIV,WSM,BIG,HFC,AN,ENDP,OI,FFIV,AXL,VSH,NCR,MDRX,UIS,CRUS,FLR,MUR,ATI,PBI,PWR,TEX,RRC,FL,NVAX,LPX,CMA,AMKR,RMBS,MFA,ZION,HOG,UNM,IVZ,NWL,GME,JWN,NUAN,ANF,FHN,JBL,URBN,PBCT,HRB,LNC,RDN,TGNA,NYCB,WEN,CNX,STLD,TOL,BBBY,APA,MAT,BPOP,KBH,PTEN,SANM,DVN,MOS,OVV,TPR,CLF,AEO,KSS,SWN,MTG,GT,NOV,CDE,IPG,JBLU,THC,ODP,RIG,SNV,M,ON,GPS,X,MRO,XRX,JNPR,CAR,RAD,SLM
2010-01-04,5.0743913650512695,6.121563911437988,11.263720512390137,12.047388076782227,12.885168075561523,31.61448860168457,12.399999618530273,4.6130547523498535,27.09162712097168,13.959521293640137,11.800000190734863,19.66704559326172,17.68880271911621,10.949371337890625,29.756492614746094,1.14775812625885,15.527327537536621,23.286409378051758,8.17458438873291,19.270000457763672,21.110000610351562,33.754173278808594,53.97999954223633,8.760000228881836,6.685457229614258,11.3100004196167,20.3799991607666,38.27000045776367,6.909999847412109,39.19012451171875,31.66320037841797,41.26579284667969,11.684043884277344,20.95748519897461,19.29524803161621,50.380882263183594,8.089228630065918,56.20000076293945,6.74185848236084,22.741565704345703,7.292653560638428,23.229999542236328,6.924455642700195,11.37608528137207,19.58769989013672,14.218297004699707,15.13460922241211,10.715932846069336,15.418570518493652,26.839885711669922,13.841943740844727,25.43451499938965,10.32994556427002,14.997796058654785,34.90999984741211,9.627459526062012,13.949638366699219,20.49707794189453,7.24055290222168,5.951396465301514,6.777052402496338,3.6364004611968994,41.479496002197266,13.456480026245117,17.936344146728516,34.029788970947266,87.91009521484375,14.349030494689941,20.17927360534668,12.281645774841309,13.903785705566406,11.550000190734863,58.846153259277344,51.3967399597168,127.17063903808594,26.302637100219727,40.209388732910156,10.872262954711914,36.93564224243164,50.83000183105469,5.854328632354736,13.173116683959961,35.81043243408203,18.739999771118164,5.352128505706787,5.559999942779541,21.799999237060547,56.53687286376953,69.00589752197266,11.139752388000488,11.506025314331055,8.869999885559082,14.912264823913574,52.61149215698242,15.145135879516602,15.83395004272461,22.680814743041992,13.229999542236328,29.799999237060547,3.624850034713745
2010-01-05,5.116559982299805,6.1814751625061035,11.079532623291016,12.444962501525879,12.746952056884766,31.37518310546875,13.020000457763672,4.594892978668213,28.672731399536133,14.111966133117676,11.789999961853027,19.910917282104492,17.504045486450195,10.739953994750977,29.873607635498047,1.1765239238739014,15.95967960357666,23.286409378051758,8.703229904174805,19.56999969482422,20.8799991607666,33.695369720458984,52.52000045776367,9.479999542236328,6.670196056365967,11.319999694824219,19.93000030517578,38.709999084472656,6.869999885559082,39.16456604003906,32.17845916748047,41.71963882446289,11.22524356842041,21.046289443969727,19.644901275634766,51.06093215942383,8.31393051147461,54.79999923706055,7.001160621643066,22.823589324951172,7.223482608795166,23.860000610351562,6.961784839630127,11.777192115783691,19.7338809967041,14.425092697143555,15.218908309936523,10.652482032775879,15.836019515991211,26.42229461669922,14.058223724365234,25.695383071899414,10.383905410766602,14.819550514221191,35.560001373291016,9.684935569763184,13.752650260925293,20.924758911132812,7.602118492126465,6.296462059020996,6.795852184295654,3.5738394260406494,42.717220306396484,13.375545501708984,17.936344146728516,33.71590042114258,88.94802856445312,14.054727554321289,19.250518798828125,12.667086601257324,14.985857009887695,11.729999542236328,58.90762710571289,52.59608840942383,128.65805053710938,26.621362686157227,40.82659912109375,11.216604232788086,36.96302795410156,51.650001525878906,6.137147426605225,14.028165817260742,36.432003021240234,19.049999237060547,5.295266151428223,5.860000133514404,24.0,59.25414276123047,70.42130279541016,11.776309967041016,11.371142387390137,8.789999961853027,15.093769073486328,52.53882598876953,15.159283638000488,15.852304458618164,22.321998596191406,13.170000076293945,31.399999618530273,3.671966791152954
2010-01-06,5.124993324279785,6.257717609405518,11.393646240234375,12.722335815429688,12.897733688354492,31.24877166748047,13.3100004196167,4.599433422088623,29.71819305419922,14.373298645019531,11.59000015258789,19.714252471923828,17.166658401489258,10.979288101196289,29.720458984375,1.197379231452942,16.52620506286621,23.591962814331055,8.682324409484863,20.31999969482422,20.889999389648438,33.80318069458008,52.7599983215332,9.569999694824219,6.685457229614258,11.5600004196167,19.68000030517578,38.790000915527344,6.849999904632568,40.18669509887695,32.67107391357422,42.732093811035156,11.337395668029785,21.648174285888672,19.86573600769043,50.764015197753906,8.632858276367188,54.20000076293945,6.528862476348877,23.33060646057129,7.1246657371521,23.549999237060547,6.952451705932617,12.801297187805176,19.68772315979004,14.55344295501709,14.901172637939453,10.8428316116333,16.17940330505371,26.493072509765625,14.213946342468262,26.238859176635742,10.67684268951416,14.887456893920898,35.279998779296875,9.67918586730957,13.42637825012207,21.241559982299805,7.667015552520752,6.3701252937316895,6.800551891326904,3.4408950805664062,44.1351432800293,14.346707344055176,17.832780838012695,34.204158782958984,90.34304809570312,13.997305870056152,19.334945678710938,12.579484939575195,15.17479133605957,11.380000114440918,58.73090362548828,54.611629486083984,130.21978759765625,27.142932891845703,42.23613357543945,11.19747543334961,37.441986083984375,51.400001525878906,5.910892963409424,14.099418640136719,36.95258331298828,19.639999389648438,5.295266151428223,5.730000019073486,23.600000381469727,57.939327239990234,72.8863754272461,12.41286849975586,11.533004760742188,8.899999618530273,15.275269508361816,54.87368392944336,15.494158744812012,15.705513000488281,21.721181869506836,13.050000190734863,33.20000076293945,3.6939542293548584
2010-01-07,5.105315685272217,6.317631244659424,11.300840377807617,13.129158020019531,13.312369346618652,31.73188018798828,13.1899995803833,4.694782733917236,29.90534210205078,14.395078659057617,11.5,20.49305534362793,17.343387603759766,10.98676586151123,30.080812454223633,1.241247296333313,17.316364288330078,23.857315063476562,8.685310363769531,20.68000030517578,20.6200008392334,33.8129768371582,52.22999954223633,9.710000038146973,6.6244025230407715,11.479999542236328,19.670000076293945,38.08000183105469,6.820000171661377,41.71138000488281,33.039119720458984,43.343040466308594,11.352689743041992,21.973787307739258,20.785869598388672,50.668235778808594,8.56762409210205,52.599998474121094,6.6770339012146,24.598173141479492,7.322298526763916,23.149999618530273,6.943119525909424,14.235038757324219,19.849281311035156,14.87431812286377,14.946565628051758,11.153030395507812,13.775718688964844,27.554779052734375,14.196642875671387,23.67365837097168,10.938945770263672,14.912921905517578,34.08000183105469,9.725171089172363,13.487940788269043,21.748632431030273,8.130558967590332,6.544597148895264,6.983841419219971,3.5190987586975098,43.44575881958008,14.251059532165527,19.075611114501953,36.56697082519531,88.97296905517578,14.356207847595215,20.263704299926758,13.840937614440918,15.26067066192627,11.460000038146973,58.38506317138672,54.769901275634766,129.51318359375,27.15740966796875,41.602264404296875,10.853133201599121,36.57984161376953,50.95000076293945,6.372829437255859,13.903470039367676,36.595176696777344,19.520000457763672,5.160219669342041,5.860000133514404,24.040000915527344,61.18253707885742,72.3695068359375,12.996374130249023,11.796043395996094,8.890000343322754,14.716246604919434,55.33700942993164,15.399831771850586,15.778907775878906,21.829662322998047,13.0,32.599998474121094,3.816457509994507
2010-01-08,5.200899124145508,6.290398597717285,12.150364875793457,13.045943260192871,13.3060884475708,31.379697799682617,13.279999732971191,4.690242290496826,30.976627349853516,14.133744239807129,11.569999694824219,20.21772003173828,17.41568374633789,10.792308807373047,32.152862548828125,1.2124810218811035,17.04801368713379,24.002046585083008,8.61661434173584,20.690000534057617,20.399999618530273,33.79338073730469,52.959999084472656,10.279999732971191,6.876250743865967,11.670000076293945,19.790000915527344,37.54999923706055,6.679999828338623,42.38427734375,33.8091926574707,44.35548400878906,11.352689743041992,21.569238662719727,20.942296981811523,51.654781341552734,8.879302978515625,53.0,6.649251461029053,24.285011291503906,7.2432451248168945,23.59000015258789,6.933788776397705,14.004619598388672,19.641557693481445,14.67465877532959,14.862265586853027,11.117781639099121,13.661256790161133,26.747886657714844,14.45617961883545,24.33308219909668,10.969783782958984,14.887456893920898,34.0099983215332,9.771151542663574,13.54334545135498,21.415868759155273,8.260346412658691,6.49807071685791,7.007340908050537,3.5269174575805664,44.03328323364258,14.854361534118652,18.859060287475586,36.64544677734375,88.50794982910156,14.191112518310547,18.91278839111328,13.989859580993652,15.775946617126465,11.449999809265137,58.500328063964844,55.552799224853516,130.1082000732422,26.998056411743164,44.304569244384766,11.069941520690918,36.14876937866211,51.470001220703125,6.617937088012695,14.197396278381348,36.60293960571289,19.790000915527344,5.167325019836426,5.800000190734863,25.0,61.88377380371094,73.95191192626953,13.314656257629395,11.411608695983887,8.890000343322754,14.810622215270996,59.3616828918457,15.423415184020996,15.723864555358887,21.904766082763672,13.039999961853027,32.599998474121094,3.6562607288360596
2010-01-11,5.09969425201416,6.290398597717285,11.893367767333984,13.563712120056152,13.249542236328125,31.479042053222656,13.09000015258789,4.69932222366333,29.98278045654297,14.220855712890625,11.710000038146973,19.72211456298828,17.40764617919922,10.807268142700195,33.206912994384766,1.221830129623413,16.89891242980957,23.873397827148438,8.404561042785645,20.450000762939453,20.479999542236328,31.990018844604492,52.45000076293945,10.1899995803833,6.845726013183594,11.630000114440918,18.979999542236328,36.0099983215332,6.619999885559082,42.5716667175293,33.741249084472656,44.46894836425781,11.184462547302246,20.700942993164062,21.752016067504883,49.834930419921875,8.951791763305664,60.400001525878906,6.954856872558594,24.0240421295166,7.114783763885498,23.850000381469727,6.905791759490967,14.08996295928955,19.364591598510742,14.945619583129883,15.322663307189941,10.997931480407715,13.681462287902832,27.144248962402344,14.473482131958008,23.535985946655273,10.877277374267578,14.4630708694458,33.81999969482422,9.673440933227539,13.60490608215332,21.70109748840332,8.464310646057129,6.688049793243408,6.979142189025879,3.464355230331421,43.17942428588867,14.390852928161621,18.783733367919922,36.42747116088867,88.77364349365234,14.284425735473633,19.081653594970703,14.349024772644043,15.286437034606934,11.529999732971191,57.701072692871094,55.22796630859375,128.2117919921875,27.758657455444336,44.10440444946289,10.763860702514648,36.09402847290039,50.47999954223633,6.589654922485352,14.18848991394043,36.24553298950195,19.700000762939453,5.309481620788574,5.610000133514404,24.559999465942383,60.21833419799805,73.57023620605469,13.89816665649414,11.209271430969238,8.970000267028809,14.970345497131348,57.172183990478516,15.423415184020996,16.10916519165039,21.8630428314209,12.84000015258789,32.0,3.606003522872925
2010-01-12,5.0041093826293945,6.219597339630127,11.900503158569336,12.814797401428223,12.828629493713379,31.04558753967285,12.619999885559082,4.649377822875977,29.369709014892578,13.828855514526367,11.239999771118164,19.187166213989258,17.271085739135742,10.814745903015137,31.74747085571289,1.1901873350143433,16.429304122924805,24.291515350341797,8.087971687316895,20.0,20.149999618530273,32.117431640625,51.02000045776367,9.600000381469727,6.647298336029053,11.920000076293945,19.559999465942383,35.540000915527344,7.960000038146973,41.83915710449219,32.540836334228516,41.72837829589844,11.271122932434082,20.316133499145508,21.540376663208008,48.58977127075195,8.980783462524414,57.400001525878906,6.7233381271362305,24.270092010498047,6.867742538452148,23.290000915527344,6.821800231933594,13.697388648986816,19.087621688842773,14.909966468811035,15.102191925048828,10.856931686401367,13.984443664550781,26.054244995117188,14.006317138671875,23.48525619506836,10.64600944519043,14.42063045501709,33.59000015258789,9.506756782531738,13.524877548217773,21.33663558959961,7.648472309112549,6.358493804931641,6.824051380157471,3.4565353393554688,42.53705596923828,14.037700653076172,18.614259719848633,36.087440490722656,87.4284896850586,13.889629364013672,18.575063705444336,13.770856857299805,14.968682289123535,11.619999885559082,57.01707458496094,52.046382904052734,127.17063903808594,27.961484909057617,41.90251159667969,10.700091361999512,35.2866096496582,48.720001220703125,6.05230188369751,13.796588897705078,36.02021408081055,18.690000534057617,5.181544780731201,5.550000190734863,23.639999389648438,57.238101959228516,71.73336029052734,13.526840209960938,11.04066276550293,8.489999771118164,14.491181373596191,57.172183990478516,15.211158752441406,16.23759651184082,21.579320907592773,12.489999771118164,30.600000381469727,3.5997214317321777
2010-01-13,5.086005687713623,6.3557515144348145,11.907641410827637,12.851780891418457,12.991966247558594,31.81315803527832,12.65999984741211,4.744728088378906,30.486160278320312,14.220855712890625,11.699999809265137,19.25797462463379,17.271085739135742,11.076517105102539,31.90062141418457,1.2232686281204224,16.958555221557617,25.063447952270508,7.965518474578857,19.90999984741211,20.68000030517578,32.14683532714844,52.38999938964844,10.3100004196167,6.830461025238037,12.149999618530273,19.950000762939453,35.77000045776367,7.820000171661377,42.11171340942383,32.535179138183594,41.71963882446289,11.352689743041992,20.355602264404297,21.74281120300293,49.815773010253906,9.10551643371582,55.599998474121094,6.852988243103027,24.724925994873047,6.976440906524658,21.399999618530273,6.840468883514404,13.953415870666504,19.91082763671875,15.009797096252441,15.160554885864258,10.934484481811523,13.997910499572754,26.443532943725586,14.222597122192383,23.81134033203125,10.746227264404297,14.55643081665039,34.15999984741211,9.604466438293457,13.70955753326416,21.637704849243164,7.926597595214844,6.3778815269470215,6.908647060394287,3.5973000526428223,42.717220306396484,13.816985130310059,19.000293731689453,36.61928939819336,88.6989517211914,14.349030494689941,18.237337112426758,13.788375854492188,15.17479133605957,11.65999984741211,57.693382263183594,52.08803176879883,130.85191345214844,27.72243881225586,42.9951171875,10.834002494812012,35.71768569946289,49.779998779296875,6.297410011291504,13.199836730957031,36.012451171875,19.020000457763672,5.24551248550415,5.699999809265137,25.0,58.99117660522461,73.2839584350586,14.693864822387695,11.08787727355957,8.59000015258789,14.505701065063477,57.390235900878906,15.159283638000488,16.421070098876953,22.096689224243164,12.550000190734863,30.200000762939453,3.615426778793335
2010-01-14,4.947630405426025,6.252272605895996,11.829117774963379,12.898008346557617,13.010810852050781,31.944087982177734,12.90999984741211,4.794671535491943,31.350914001464844,14.177298545837402,11.529999732971191,18.87249755859375,17.12649154663086,11.555176734924316,31.50422477722168,1.2096049785614014,16.205665588378906,24.70964241027832,7.965518474578857,19.530000686645508,20.81999969482422,31.55878448486328,52.13999938964844,10.109999656677246,6.937309741973877,12.369999885559082,19.299999237060547,35.5099983215332,7.78000020980835,42.75904846191406,32.699378967285156,40.74210739135742,11.347591400146484,19.18143081665039,21.347156524658203,51.032188415527344,9.12019157409668,53.599998474121094,6.815946102142334,25.448183059692383,6.936914443969727,21.170000076293945,6.79380464553833,14.260644912719727,19.795427322387695,15.295014381408691,14.914143562316895,10.892183303833008,13.802651405334473,25.997608184814453,14.63785457611084,23.891050338745117,10.869566917419434,15.082672119140625,33.779998779296875,9.690685272216797,14.202040672302246,21.756555557250977,7.7504496574401855,6.288707256317139,6.9744415283203125,3.6520419120788574,42.161041259765625,13.559479713439941,18.58601188659668,36.13103103637695,89.18054962158203,14.700758934020996,18.91278839111328,13.735818862915039,15.638543128967285,12.109999656677246,56.84800720214844,50.672149658203125,130.1825714111328,27.164663314819336,43.161922454833984,11.101821899414062,35.368717193603516,49.40999984741211,6.306837558746338,13.529386520385742,36.48640441894531,18.770000457763672,5.131788730621338,5.739999771118164,25.15999984741211,58.640567779541016,73.4191665649414,14.693864822387695,11.135082244873047,8.510000228881836,14.33145523071289,57.74455261230469,15.07909870147705,16.31098747253418,21.9798641204834,12.869999885559082,30.399999618530273,3.618567943572998
2010-01-15,4.899620532989502,6.230487823486328,11.543563842773438,12.324767112731934,13.186724662780762,31.650604248046875,12.489999771118164,4.708404541015625,30.647491455078125,14.090189933776855,11.050000190734863,18.518489837646484,16.965829849243164,11.353241920471191,31.15287971496582,1.1815578937530518,15.28133487701416,24.942832946777344,8.03719711303711,19.18000030517578,20.6299991607666,31.15694808959961,51.38999938964844,9.819999694824219,6.693089008331299,12.039999961853027,19.1200008392334,34.970001220703125,7.789999961853027,41.81359100341797,32.189788818359375,39.89550018310547,11.179361343383789,18.80648422241211,21.061912536621094,50.52455139160156,8.936759948730469,52.400001525878906,6.843728065490723,24.50124168395996,6.541648864746094,20.770000457763672,6.719149112701416,13.876602172851562,19.295351028442383,15.252226829528809,14.726096153259277,10.511483192443848,13.802651405334473,25.495073318481445,14.274503707885742,23.60845184326172,10.507247924804688,14.4630708694458,32.45000076293945,9.55273723602295,13.986577033996582,21.304943084716797,7.286910057067871,6.242183208465576,6.852248191833496,3.6364004611968994,41.44033432006836,13.250472068786621,18.209392547607422,35.45967102050781,89.39643859863281,14.557196617126465,18.237337112426758,13.402934074401855,15.441017150878906,12.029999732971191,56.12559509277344,51.271820068359375,128.24900817871094,26.650339126586914,41.49383544921875,10.948783874511719,35.24555587768555,48.650001525878906,5.929747581481934,13.377974510192871,35.926979064941406,18.399999618530273,5.089142799377441,5.630000114440918,24.280000686645508,58.28994369506836,73.03746032714844,14.057308197021484,11.162062644958496,7.989999771118164,14.200777053833008,56.36362075805664,14.92345142364502,16.219247817993164,22.180143356323242,12.800000190734863,30.799999237060547,3.3767013549804688
