,CADF p-value,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio,Current spread price,Deviation from the mean (SD),TTC
5291,0.0080552542202737,43.0,0.7510707010126139,0.6650433363898949,0.01876868082310915,0.3890023119961449,5.703779038876927,0.3669597015733809,0.7042160969784799,2.0871344639391536,44.0
5292,0.006118277992367678,33.0,0.7444487097444222,0.8665521428153762,0.01898069198092848,0.399250559221301,5.668347756202243,0.1765541669695327,0.907394021410096,2.151759200125954,35.0
5293,0.006874313171345514,25.0,0.7986116267191777,0.3994523272815509,0.028683201631989372,0.3488132310358144,7.423573254918,0.5983694445565094,0.3373202120906025,-2.1661499294295874,1000.0
5294,0.009925274948898496,31.0,0.7389133650424001,0.5567099662097696,0.03211241914530452,0.315737539774323,10.15524427685714,0.424567334320187,0.49160854090961625,-2.0272974454393458,121.0
5295,0.008635591936917444,27.0,0.7571549636812269,0.629885993824308,0.03113231227432981,0.3202305586970863,8.764049490820915,0.3652187009668734,0.5651252608165762,-2.0801774194308824,121.0
5296,0.006705067217268516,49.0,0.7911414905435408,0.3212732004055093,0.03296886269053296,0.3200023001157078,4.056541119711802,0.6949710796172355,0.393682328823993,2.1962883311493813,43.0
5297,0.0063755493637789535,32.0,0.8610001711528599,-0.21929306204196633,0.04238868077500939,0.27618363495897785,5.5219318237503225,1.1491129317936462,-0.13335571272280933,2.027365507676335,1000.0
5298,0.0029712070790337193,22.0,0.7778868129946889,0.5909585225813343,0.0357445419738699,0.38824088552441055,8.82460377988833,0.39542927235162306,0.6711367423866469,2.2430898642910226,1000.0
5299,0.004399256780851744,33.0,0.9204338950922439,0.3997218676491307,0.02699752504164475,0.3311786067239617,4.954740247678393,0.6311230345859671,0.4714003399959992,2.6550016061213606,57.0
5300,0.001986125626278342,38.0,0.8737093975427105,-0.636594215927197,0.03744584447930235,0.33973864194832826,4.010942265996531,1.630117763127504,-0.559065649542932,2.0704184259248786,21.0
5301,0.0011117243710269203,33.0,0.9162862917326948,-0.1654795193607101,0.02997256442977695,0.299357848952891,4.085326232221883,1.104241475098554,-0.24081218337302523,-2.5133873409068106,1000.0
5302,0.007146543932033279,40.0,0.8715449554589466,0.14753881308449687,0.0200550272540541,0.22330883648018543,5.14955154733118,0.864017054398589,0.0914939551279208,-2.794554066000916,1000.0
5303,0.0036949602385652237,33.0,0.885111007412258,-5.418871926597226,0.26241311491047303,0.37223727856778804,4.920636485074693,6.314466117060752,-5.993148332892769,-2.1884439978980015,1000.0
5304,0.005062960547366393,35.0,0.8131825935437836,0.16767797939069415,0.027432698356406868,0.2948341144854627,6.92202716409947,0.83869464987857,0.23200490426413878,2.344899653607031,31.0
5305,8.542485818014977e-05,35.0,0.8283689577807821,0.47028823600417574,0.023688438477816265,0.31473453788189026,6.962135776353502,0.5526683867303025,0.5182272807002942,2.023731734829732,31.0
5306,0.0059397609346806424,48.0,0.9717722702128918,-0.10356733747081126,0.03444503591255454,0.32527160780571085,5.026299262784087,1.1128488489817685,-0.19860160212108435,-2.759011919497955,1000.0
5307,0.0019348392870873257,39.0,0.9213909975777023,-0.52780205543234,0.02951349781500067,0.293373126198069,4.464121187914667,1.5585739458037684,-0.4497194477553297,2.645657528174235,1000.0
5308,0.0038987397544033705,35.0,0.8578217044787096,-0.20118463004487744,0.04028884509093863,0.338395339436599,4.465763087965132,1.082930612966284,-0.29641795026940665,-2.3637639651762608,171.0
5309,0.0006632942171974274,42.0,0.8654309508404586,0.6470423296284857,0.016048765603187194,0.26472569210793506,4.075310498508338,0.36553333235431873,0.6087990601607007,-2.3829414930323427,31.0
5310,0.008798151745600719,24.0,0.8930318301711287,-0.44460019334718603,0.029647317179900608,0.26985018217764406,5.543380044506754,1.3858271002722835,-0.3804529327150977,2.163678428062858,1000.0
5311,0.0024204772621366985,33.0,0.8294627129948031,0.4510869830562883,0.0284992429358116,0.37393224678134274,8.73453411453939,0.5013083068972449,0.39223007041424796,-2.065209689064473,1000.0
5312,0.003085059827809138,35.0,0.9063526630456369,0.00435815652402833,0.0283394161723247,0.34283613376306876,4.799000358372937,0.9789854234892891,-0.060678857519115725,-2.2949313298365324,171.0
5313,4.495839913717669e-05,24.0,0.892320430267281,0.6196312749908014,0.036119500852624185,0.38408530594446827,9.240790458633878,0.33538130161663104,0.6972385568368176,2.1486255350723593,1000.0
5314,0.007900800066799829,34.0,0.8889717521762726,0.285217959766691,0.028565990588487016,0.3646494916393311,7.451560941975388,0.7324863248658373,0.2185378718477844,-2.3342473530667887,64.0
5315,0.006798278068756564,30.0,0.863970582876245,0.4570273657906098,0.031409119332536005,0.41452745718206835,10.03258251517177,0.5761553380175062,0.37679482629062927,-2.5544345465576126,162.0
5316,0.0043542440438217095,30.0,0.8778665865786687,0.19829934897261867,0.029872352729688825,0.35233985322212447,8.30071252665639,0.8152422312055998,0.12796365859449998,-2.354541371902559,115.0
5317,0.0001981988661699489,47.0,0.8892030769822321,0.07504771980277601,0.02853796400834735,0.364814744799642,7.379253415666897,0.9101465617459914,0.0005495398620507519,-2.6104938642060995,60.0
5318,0.006298229113480792,38.0,0.8656194929908373,0.16941102957118753,0.03123197778306247,0.3732248731595783,8.381149233735785,0.8412569621558984,0.0972198275326962,-2.3114515046063335,115.0
5319,0.006391824805846285,46.0,0.7870004863925963,0.4998007531977799,0.03848322457626833,0.3803425426971874,9.052214425263445,0.5223832596049709,0.4220194850231968,-2.0211733562095757,1000.0
5320,4.955413402929536e-05,45.0,0.8888053773035501,-0.2391614293934629,0.026186422347595797,0.26633499232243396,3.207991863611512,1.230927068875242,-0.31295876886643914,-2.818152800462704,9.0
5321,6.703464280290808e-06,37.0,0.9387166583686558,-0.022170461314710208,0.022228622722397024,0.2630358028139965,2.9949009832042957,0.9748911761044685,-0.06965761391921865,-2.136306562829083,171.0
5322,0.003516369181417363,29.0,0.8853344760528632,-0.6484610000126788,0.04803007604041982,0.4183684029392912,5.814829256488585,1.4728125160302508,-0.780079945103338,-2.740344299682036,115.0
5323,0.004015300063033084,44.0,0.943045226633322,0.21248365959265705,0.02217338309853758,0.3074634112811134,4.882814469269538,0.7778089318159589,0.2676827636185505,2.489430854127714,39.0
