Pair,Distance,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio
IEX-WTRG,2.7306183926059893,66.0,0.8840174551703797,-0.5060937550137309,0.09964168031222459,0.48446645151527623,17.565891645131327,1.9562737604191875
IEX-WRLD,1.694439619656447,50.0,0.957005218631344,0.49729313398219227,0.06183097987889994,0.3708047128327762,15.621250343250264,0.5594480148934257
NUAN-CXW,1.8585608774771363,42.0,0.5902431897127846,0.8705509597199946,0.06781984963400418,0.39540271405627847,17.4343678078934,0.24820202873941008
MOH-DECK,3.62546212861573,48.0,0.9408274142266813,0.1197162698614972,0.13229499199953987,0.35748769861033375,22.901431295272126,1.00971361171062
PWR-NCLH,1.9922327793805747,61.0,0.7774432658944733,0.5790926686032534,0.07269760661105219,0.4130333409633073,20.68067823023494,0.6662582648560472
PWR-FLO,2.4588055272031974,36.0,0.6304235981446434,0.7645308076185269,0.08972308798436474,0.48778252636096947,26.46876259008086,0.5653499942015712
PWR-CPF,1.6233129799281978,81.0,0.8586966950058219,-0.13069739261090618,0.059235531933234685,0.3650574857005753,15.325692484849586,1.1975194776234557
WSM-BAH,2.0990976424322176,42.0,0.7711508790858737,0.5200068152939145,0.07659716084742398,0.4000874407715297,17.02344202822117,0.41595217873756396
WSM-RPM,2.066703623943142,62.0,0.7791581518403367,0.025778441238566874,0.07541508632428409,0.4068424167734623,17.4230420796435,0.9352353860406524
WSM-LSI,2.1528244437476607,61.0,0.7574030206559293,0.40459926989916356,0.07855767967179286,0.3791814076822216,15.673785934744423,0.7724138561091167
WSM-TTEK,2.0489106362316827,68.0,0.783469049253422,0.4431375914244348,0.07476581098132687,0.3715822996134356,17.068918934719466,0.4277075245007187
WSM-FCN,1.8960423066216145,63.0,0.8181069310750275,0.6838062357157945,0.06918756640855328,0.36562613025081453,14.710406806093264,0.33175400495355545
WSM-WTS,2.126467166682411,62.0,0.7642217645062241,0.1702360110089761,0.07759588897180059,0.39520137035448516,17.621418512489942,0.7413510738912774
