,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
ABG-AZZ,,,,,,,,,
ABG-CBSH,,,,,,,,,
ABG-FSLR,,,,,,,,,
ABG-SPR,,,,,,,,,
ABG-KMPR,,,,,,,,,
ABG-THO,,,,,,,,,
ABG-ACHC,,,,,,,,,
ABG-M,,,,,,,,,
ABG-USM,,,,,,,,,
ABG-LTC,-74.03237301452805,-74.97860607087352,-71.49979856049993,8.412757405508515,0.22499960413343098,0.9894078418347232,0.16906916965596636,0.16006285008899668,0.5286667496807412
ABG-SAFT,,,,,,,,,
ABG-CMC,92.29388626791058,94.07710499229654,88.9278368498608,9.081355453451472,0.22280812901376726,0.9104260029459836,0.20815032353494822,0.14233568595617138,0.6912491056388634
ABG-MLI,300.59054376170513,304.2648292038955,296.5161681333399,5.5306158842503645,0.2892841627598909,0.926973134361198,0.2504916729367885,0.12421291782678849,0.8084629739606487
ABG-XRX,,,,,,,,,
ABG-INT,1961.6579523100888,1966.284704525367,1958.2762258502125,13.944175616398347,0.5116683888672253,0.8242381152231553,0.48026506910647815,0.42169269841425827,0.5871285287033937
ABG-NHI,,,,,,,,,
ABG-RCII,,,,,,,,,
ABG-DEI,,,,,,,,,
ABG-SCL,,,,,,,,,
ABG-WWW,179.39841136214284,183.4443007477539,182.4110911670739,6.8439842512783695,0.2607062920904453,0.9035148070015057,0.19163711366706082,0.181823269534247,0.5385686960462571
ABG-BC,,,,,,,,,
ABG-MTG,,,,,,,,,
ABG-SWN,2393.593171122471,2393.8667267017936,2395.530514603969,32.79306212488985,0.5555813245777385,0.9649790591223071,0.6104118838830693,0.5084610731931267,0.5946341064532941
ABG-JWN,,,,,,,,,
ABG-SRCL,,,,,,,,,
ABG-BCO,,,,,,,,,
ABG-CMP,,,,,,,,,
ABG-TOL,,,,,,,,,
ABG-HNI,,,,,,,,,
ABG-MIC,,,,,,,,,
ABG-CORE,,,,,,,,,
ABG-PRGO,3153.696705723726,3154.434953932556,3158.4399658928014,17.167461655182912,0.8104622000606774,1.0,0.9504291282876554,0.6702922063067018,0.6678328698167786
ABG-WEN,-2428.604819079921,-2418.2635062711315,-2418.618490055444,2.751651705304152,0.04688030253646494,0.9762270069815239,0.054155887730645634,0.04837264928125233,0.5591768428131216
ABG-TGNA,,,,,,,,,
ABG-MAC,,,,,,,,,
ABG-CACI,2421.3937630244163,2425.027830730318,2424.122615175382,36.92973248757663,0.6606069714478439,0.9909570389636525,0.805176944871639,-0.0322353843489437,0.9984069751766602
ABG-EBIX,,,,,,,,,
ABG-RGR,,,,,,,,,
ABG-LAZ,,,,,,,,,
ABG-SFNC,,,,,,,,,
ABG-HLX,1031.6980086987078,1044.2957912242885,1033.082533504264,6.469454663602965,0.45304159455972814,0.9723609163995843,0.40278581886187453,-0.02131471424478113,0.9972459655629923
ABG-AUB,,,,,,,,,
ABG-FUL,,,,,,,,,
ABG-TILE,,,,,,,,,
ABG-WNC,,,,,,,,,
SPWR-GCO,,,,,,,,,
SPWR-CRS,2508.2718233598757,2511.548229787949,2510.6540473342257,6.0509166073897465,0.5807752193578075,0.895617070556817,0.5933354990160263,0.5963969874051315,0.5108257354349356
SPWR-SCHN,,,,,,,,,
SPWR-AMG,4057.4259282200846,4058.836930192314,4048.764829162032,31.60567053990614,1.4605359669898796,0.76388781890914,1.3034354199800906,1.2533963861980433,0.5508039942716365
SPWR-LANC,,,,,,,,,
SPWR-ON,,,,,,,,,
SPWR-SLG,,,,,,,,,
SPWR-SWM,,,,,,,,,
SPWR-TCBI,,,,,,,,,
SPWR-PNW,,,,,,,,,
SPWR-NWBI,-1931.4927127303063,-1931.613418721683,-1951.5611691662752,3.599207526482102,0.05603727112334494,0.6806826408009161,0.06810203660575576,0.06091302336879418,0.597982861475709
SPWR-NJR,,,,,,,,,
SPWR-GFF,,,,,,,,,
SPWR-KOP,,,,,,,,,
SPWR-JNPR,,,,,,,,,
SPWR-HA,,,,,,,,,
SPWR-CVI,,,,,,,,,
SPWR-ISBC,,,,,,,,,
SPWR-NXGN,,,,,,,,,
SPWR-ASTE,1989.710726264362,1993.376874414511,1986.167912067655,16.473299447220754,0.525405928461502,0.8132702681358868,0.4726489444888131,0.44337089502326343,0.5562379625457353
SPWR-NYT,,,,,,,,,
SPWR-UNM,,,,,,,,,
SPWR-ABG,1616.5977831734986,1617.9229982989064,1612.5270271093532,3.8092212974529733,0.36091115735648616,0.8292494970354066,0.3865387104806742,0.37438261763228975,0.5382125447797843
SPWR-SYNA,,,,,,,,,
SPWR-GIC,,,,,,,,,
SPWR-MDC,,,,,,,,,
SPWR-AMKR,,,,,,,,,
SPWR-SKYW,,,,,,,,,
SPWR-NSIT,,,,,,,,,
SPWR-RUSHA,,,,,,,,,
SPWR-BECN,,,,,,,,,
SPWR-FHN,,,,,,,,,
SPWR-PFS,,,,,,,,,
SPWR-ENR,,,,,,,,,
SPWR-RLI,,,,,,,,,
SPWR-ACM,1342.0798635700721,1344.6737563501122,1346.1612723320425,25.19187366988358,0.3520451952887149,0.9948042049417535,0.4713205679715492,0.003347240830155973,0.9999496975000931
SPWR-DBD,,,,,,,,,
SPWR-SNV,,,,,,,,,
SPWR-UFCS,,,,,,,,,
SPWR-SBGI,,,,,,,,,
SPWR-WW,,,,,,,,,
SPWR-SLM,-1811.3452878491462,-1810.9610335627706,-1824.7846584313083,2.012292793713566,0.061442446712459936,0.6975468528783089,0.06887557789772403,0.06875205653422262,0.5417905308893681
SPWR-GBX,,,,,,,,,
SPWR-KNX,,,,,,,,,
SPWR-CLB,,,,,,,,,
SPWR-EQT,,,,,,,,,
SPWR-ALE,,,,,,,,,
SPWR-APOG,,,,,,,,,
SPWR-WABC,,,,,,,,,
SPWR-QRTEA,,,,,,,,,
SPWR-SSB,,,,,,,,,
SPWR-UHAL,,,,,,,,,
SPWR-HRI,,,,,,,,,
SPWR-KALU,2265.4796356017982,2264.639349179881,2242.909476565589,17.56528616721675,0.5321833306781131,0.7625863066833711,0.6009888248585501,0.42547072966195054,0.6936257864482633
SPWR-AZZ,,,,,,,,,
SPWR-CBSH,,,,,,,,,
SPWR-FSLR,,,,,,,,,
SPWR-SPR,,,,,,,,,
SPWR-KMPR,,,,,,,,,
SPWR-THO,,,,,,,,,
SPWR-ACHC,,,,,,,,,
SPWR-M,,,,,,,,,
SPWR-USM,,,,,,,,,
SPWR-LTC,,,,,,,,,
SPWR-SAFT,,,,,,,,,
SPWR-CMC,,,,,,,,,
SPWR-MLI,518.8419280528577,518.587836790985,513.7924652055782,4.931444196371247,0.19945098396150437,0.8454399806563222,0.2262460674385047,0.21413723802252765,0.5474670364039915
SPWR-XRX,,,,,,,,,
SPWR-INT,2093.898289828736,2097.112678068387,2092.499234791072,12.817987770816343,0.3525687463253877,0.8276843917998722,0.4805536068029753,0.4857088131079128,0.5171823213899841
SPWR-NHI,,,,,,,,,
SPWR-RCII,,,,,,,,,
SPWR-DEI,,,,,,,,,
SPWR-SCL,,,,,,,,,
SPWR-WWW,390.221353557086,391.1015933296484,387.38548476386006,6.483038837328829,0.1714838462613914,0.8755987905508908,0.21822855077464245,0.194805014987207,0.5723160217553389
SPWR-BC,,,,,,,,,
SPWR-MTG,,,,,,,,,
SPWR-SWN,2413.4464313176095,2428.5565395422873,2422.983104031677,27.13949621521151,0.6383402076676729,0.9700247128982156,0.7887688082434628,0.16265580306615454,0.9597967980585006
SPWR-JWN,,,,,,,,,
SPWR-SRCL,,,,,,,,,
SPWR-BCO,,,,,,,,,
SPWR-CMP,,,,,,,,,
SPWR-TOL,,,,,,,,,
SPWR-HNI,,,,,,,,,
SPWR-MIC,,,,,,,,,
SPWR-CORE,,,,,,,,,
SPWR-PRGO,,,,,,,,,
SPWR-WEN,-2354.640698256545,-2348.3235576321076,-2352.4144749148054,2.5018369338578204,0.04129817510290776,0.8658498465656662,0.055245965103091745,0.050500436806963075,0.561944430491509
SPWR-TGNA,,,,,,,,,
SPWR-MAC,,,,,,,,,
SPWR-CACI,2579.1288386678207,2582.990274789626,2584.2127330311296,37.12477906618697,0.36749126401593607,0.9811199030427464,0.7770268967712992,0.3971262382924876,0.7944443923470945
SPWR-EBIX,,,,,,,,,
SPWR-RGR,,,,,,,,,
SPWR-LAZ,,,,,,,,,
SPWR-SFNC,,,,,,,,,
SPWR-HLX,1219.4293076843414,1221.4214027278128,1219.7883227216387,3.872158364906384,0.3990342390667875,0.9559413469938525,0.3832204579630583,0.22146487011615723,0.7537973346540493
SPWR-AUB,,,,,,,,,
SPWR-FUL,,,,,,,,,
SPWR-TILE,,,,,,,,,
SPWR-WNC,,,,,,,,,
SYNA-GCO,,,,,,,,,
SYNA-CRS,2495.3099836640617,2500.2928888267493,2499.351348665792,3.494238373175799,0.3333311769339825,0.9188725154638006,0.6255683681392246,0.5554147242217882,0.569374718582785
SYNA-SCHN,,,,,,,,,
SYNA-AMG,,,,,,,,,
SYNA-LANC,,,,,,,,,
SYNA-ON,,,,,,,,,
SYNA-SLG,,,,,,,,,
SYNA-SWM,,,,,,,,,
SYNA-TCBI,,,,,,,,,
SYNA-PNW,,,,,,,,,
SYNA-NWBI,,,,,,,,,
SYNA-NJR,,,,,,,,,
SYNA-GFF,-147.33466462754757,-139.83257703526408,-138.66162067668188,3.3115404248877023,0.0999819142609089,0.9574605484895039,0.17252550506280964,0.14469095905709417,0.5922776368207587
SYNA-KOP,,,,,,,,,
SYNA-JNPR,,,,,,,,,
SYNA-HA,,,,,,,,,
SYNA-CVI,,,,,,,,,
SYNA-ISBC,,,,,,,,,
SYNA-NXGN,,,,,,,,,
SYNA-ASTE,1984.679003439488,1995.36325136588,1985.6401409395808,14.929032539423511,0.2822985283817476,0.9406995979664914,0.6112810320291023,0.2146851907480808,0.8931059267412967
SYNA-NYT,,,,,,,,,
SYNA-UNM,,,,,,,,,
SYNA-ABG,,,,,,,,,
SYNA-SPWR,,,,,,,,,
SYNA-GIC,,,,,,,,,
SYNA-MDC,,,,,,,,,
SYNA-AMKR,,,,,,,,,
SYNA-SKYW,,,,,,,,,
SYNA-NSIT,,,,,,,,,
SYNA-RUSHA,127.86241484021878,130.8428540708004,133.14860752599247,3.6405624771610237,0.10500997767477437,0.9797412404867112,0.2073902158472277,0.15308691484634723,0.6496209812647283
SYNA-BECN,,,,,,,,,
SYNA-FHN,,,,,,,,,
SYNA-PFS,,,,,,,,,
SYNA-ENR,,,,,,,,,
SYNA-RLI,,,,,,,,,
SYNA-ACM,,,,,,,,,
SYNA-DBD,,,,,,,,,
SYNA-SNV,,,,,,,,,
SYNA-UFCS,,,,,,,,,
SYNA-SBGI,,,,,,,,,
SYNA-WW,3549.725653779407,3550.748414680389,3554.6173220048,11.2012257074439,0.3310773899442564,0.997993357073499,1.0445604078857365,0.9602659132560796,0.5422207621162884
SYNA-SLM,-1834.818465630408,-1834.6372808749738,-1846.2387976424193,1.6314596727319606,0.03811489764562259,0.7012134533354849,0.06637491506806,0.06974976100978456,0.5156488372657876
SYNA-GBX,,,,,,,,,
SYNA-KNX,2111.3736957819387,2137.9404849240177,2025.466096520633,12.811245615648426,0.15127598355336605,0.5366693522530884,0.6109395728113393,0.25194233483009837,0.8844359844849012
SYNA-CLB,,,,,,,,,
SYNA-EQT,,,,,,,,,
SYNA-ALE,,,,,,,,,
SYNA-APOG,,,,,,,,,
SYNA-WABC,,,,,,,,,
SYNA-QRTEA,,,,,,,,,
SYNA-SSB,,,,,,,,,
SYNA-UHAL,,,,,,,,,
SYNA-HRI,,,,,,,,,
SYNA-KALU,2259.455326983639,2257.455345246537,2244.0704529013474,15.510363836021783,0.29087753842282754,0.7920879795386979,0.5738024939730145,0.46215810566850846,0.6323989425714596
SYNA-AZZ,,,,,,,,,
SYNA-CBSH,,,,,,,,,
SYNA-FSLR,,,,,,,,,
SYNA-SPR,,,,,,,,,
SYNA-KMPR,,,,,,,,,
SYNA-THO,,,,,,,,,
SYNA-ACHC,,,,,,,,,
SYNA-M,,,,,,,,,
SYNA-USM,,,,,,,,,
SYNA-LTC,,,,,,,,,
SYNA-SAFT,,,,,,,,,
SYNA-CMC,231.86381911717024,242.9248587928805,235.97822149198998,7.833804620234155,0.0884272532863322,0.977197651451068,0.2712350706063786,0.0060399707080655216,0.9995100122550123
SYNA-MLI,,,,,,,,,
SYNA-XRX,,,,,,,,,
SYNA-INT,2059.0206287479837,2064.223495457991,2060.082536026188,9.631711239644867,0.244503977865951,0.8672395365660167,0.4980374257442908,0.45164755619865105,0.5656763769551293
SYNA-NHI,,,,,,,,,
SYNA-RCII,,,,,,,,,
SYNA-DEI,,,,,,,,,
SYNA-SCL,,,,,,,,,
SYNA-WWW,,,,,,,,,
SYNA-BC,,,,,,,,,
SYNA-MTG,,,,,,,,,
SYNA-SWN,2474.640993154573,2478.801892342752,2476.654911414602,28.459093797992264,0.25426221394965337,0.9888636238809393,0.8261083077279107,-0.04170052585390224,0.9974725356446418
SYNA-JWN,,,,,,,,,
SYNA-SRCL,,,,,,,,,
SYNA-BCO,,,,,,,,,
SYNA-CMP,,,,,,,,,
SYNA-TOL,,,,,,,,,
SYNA-HNI,,,,,,,,,
SYNA-MIC,,,,,,,,,
SYNA-CORE,,,,,,,,,
SYNA-PRGO,,,,,,,,,
SYNA-WEN,,,,,,,,,
SYNA-TGNA,,,,,,,,,
SYNA-MAC,,,,,,,,,
SYNA-CACI,2542.417352139319,2548.106791111755,2549.9109307638782,32.72744832614151,0.2820865479792252,0.9858874639425963,0.7734554065049284,0.3710730443575627,0.8139705903874153
SYNA-EBIX,1743.9546268731192,1748.4360469380883,1751.8155408973457,5.28999909380608,0.11999358431325537,0.9908716252810569,0.4723915734246825,0.33086033084920796,0.6719016307903821
SYNA-RGR,,,,,,,,,
SYNA-LAZ,1151.799072406664,1155.2681717799517,1158.2637799540112,9.942627992192376,0.16103187528308524,0.9968421870348663,0.42085766904158123,0.08455855703176418,0.9612566010659933
SYNA-SFNC,,,,,,,,,
SYNA-HLX,1241.5188380869777,1245.0785444435114,1245.667900192505,3.29905774284103,0.19806356272178538,0.9756667126900109,0.394451475782241,0.21312641988425635,0.7761661381756901
SYNA-AUB,,,,,,,,,
SYNA-FUL,,,,,,,,,
SYNA-TILE,,,,,,,,,
SYNA-WNC,,,,,,,,,
GIC-GCO,,,,,,,,,
GIC-CRS,2357.1494467929124,2358.5906456930024,2354.168716292406,3.506284991480827,1.9673568085217645,0.9240263952410241,0.6541805296292169,0.42158671918698104,0.7145207768815155
GIC-SCHN,,,,,,,,,
GIC-AMG,,,,,,,,,
GIC-LANC,,,,,,,,,
GIC-ON,,,,,,,,,
GIC-SLG,,,,,,,,,
GIC-SWM,,,,,,,,,
GIC-TCBI,,,,,,,,,
GIC-PNW,,,,,,,,,
GIC-NWBI,,,,,,,,,
GIC-NJR,,,,,,,,,
GIC-GFF,-261.4071302982877,-257.8031084089339,-256.66288363415515,3.6783063561987404,0.5379320575552502,0.9912720597981058,0.2098069935133426,0.03263101807612472,0.9764827515416639
GIC-KOP,,,,,,,,,
GIC-JNPR,,,,,,,,,
GIC-HA,,,,,,,,,
GIC-CVI,468.7115945280657,471.7160207881459,472.1596070638408,0.3056312048977712,0.4002579596113518,1.0029611263702443,0.2509758325492342,0.1735375270446202,0.6762182258633963
GIC-ISBC,,,,,,,,,
GIC-NXGN,,,,,,,,,
GIC-ASTE,1814.8560336523083,1815.8954773371065,1809.5177594690672,14.710572361812874,1.673635709880279,0.881405840813872,0.4741954930858588,0.35695594549969495,0.652294998936507
GIC-NYT,-36.32655399572354,-32.69201818379054,-29.923555160676187,2.2783635370859425,0.4370510720841428,0.9925174483915924,0.22067603734668625,0.08829510239288439,0.8624477205497331
GIC-UNM,,,,,,,,,
GIC-ABG,,,,,,,,,
GIC-SPWR,,,,,,,,,
GIC-SYNA,,,,,,,,,
GIC-MDC,,,,,,,,,
GIC-AMKR,,,,,,,,,
GIC-SKYW,,,,,,,,,
GIC-NSIT,,,,,,,,,
GIC-RUSHA,,,,,,,,,
GIC-BECN,,,,,,,,,
GIC-FHN,,,,,,,,,
GIC-PFS,,,,,,,,,
GIC-ENR,,,,,,,,,
GIC-RLI,,,,,,,,,
GIC-ACM,,,,,,,,,
GIC-DBD,,,,,,,,,
GIC-SNV,,,,,,,,,
GIC-UFCS,,,,,,,,,
GIC-SBGI,,,,,,,,,
GIC-WW,,,,,,,,,
GIC-SLM,,,,,,,,,
GIC-GBX,,,,,,,,,
GIC-KNX,2092.6507065843543,2121.9569775314094,2008.6569340320082,14.190807104295772,0.6715177658639877,0.5435507297958371,0.6091277998917688,0.24174670941567197,0.891614244041563
GIC-CLB,,,,,,,,,
GIC-EQT,,,,,,,,,
GIC-ALE,,,,,,,,,
GIC-APOG,,,,,,,,,
GIC-WABC,,,,,,,,,
GIC-QRTEA,,,,,,,,,
GIC-SSB,,,,,,,,,
GIC-UHAL,,,,,,,,,
GIC-HRI,,,,,,,,,
GIC-KALU,,,,,,,,,
GIC-AZZ,,,,,,,,,
GIC-CBSH,,,,,,,,,
GIC-FSLR,,,,,,,,,
GIC-SPR,,,,,,,,,
GIC-KMPR,,,,,,,,,
GIC-THO,,,,,,,,,
GIC-ACHC,,,,,,,,,
GIC-M,,,,,,,,,
GIC-USM,,,,,,,,,
GIC-LTC,,,,,,,,,
GIC-SAFT,,,,,,,,,
GIC-CMC,150.7618184249094,154.56439037023154,154.14340976945925,7.911794269366782,0.5201735642729516,0.9910494772702881,0.26047826810816616,-0.0002462770567826282,0.9999991100684814
GIC-MLI,,,,,,,,,
GIC-XRX,,,,,,,,,
GIC-INT,1944.1733121760117,1945.1722910775557,1938.7285122759358,9.560686694791926,1.4539912612505175,0.8187658798939274,0.45828397500641266,0.43656257869042675,0.5478787451078291
GIC-NHI,,,,,,,,,
GIC-RCII,,,,,,,,,
GIC-DEI,,,,,,,,,
GIC-SCL,,,,,,,,,
GIC-WWW,,,,,,,,,
GIC-BC,,,,,,,,,
GIC-MTG,,,,,,,,,
GIC-SWN,2390.859188951771,2395.4533012437264,2394.7029716390543,28.508774171964166,1.5211881726772272,0.9889755711167783,0.7920270515555825,0.0575262520801461,0.994781098405823
GIC-JWN,,,,,,,,,
GIC-SRCL,,,,,,,,,
GIC-BCO,,,,,,,,,
GIC-CMP,2264.7240076913004,2263.87183646426,2267.8718364642373,25.954052291452914,1.5087765669476805,1.0,0.6713734678659554,0.32420183306038053,0.8109076422859488
GIC-TOL,,,,,,,,,
GIC-HNI,,,,,,,,,
GIC-MIC,,,,,,,,,
GIC-CORE,,,,,,,,,
GIC-PRGO,3201.5114736648447,3204.8272705589297,3208.828985315158,13.560472457256454,1.8238431849032177,1.0,0.9189603676539279,0.7553593384839203,0.5967878475659919
GIC-WEN,-2407.8851931770732,-2406.307733708678,-2411.2010292451605,2.4278163528975187,0.12313494232458412,0.8241697592535221,0.05121533283213869,0.05158578142127376,0.519392261512684
GIC-TGNA,,,,,,,,,
GIC-MAC,,,,,,,,,
GIC-CACI,2471.1859046042614,2472.0039798777716,2474.647690679239,33.28866795839039,1.5804043434675537,0.9884314567561695,0.7220564590370909,0.4018251658080054,0.7645832501177855
GIC-EBIX,,,,,,,,,
GIC-RGR,,,,,,,,,
GIC-LAZ,,,,,,,,,
GIC-SFNC,,,,,,,,,
GIC-HLX,1179.2171557223812,1178.830984442759,1181.052095654913,4.738367149235488,0.9507715205135904,0.965574735437944,0.31707170747593566,0.2965854628834542,0.537665401813584
GIC-AUB,,,,,,,,,
GIC-FUL,,,,,,,,,
GIC-TILE,,,,,,,,,
GIC-WNC,,,,,,,,,
MDC-GCO,,,,,,,,,
MDC-CRS,2395.3580289175484,2397.5053347061694,2396.6344175465147,2.421784648418047,0.9602900855440849,0.8968533727605219,0.5608014033889037,0.5633214520403429,0.510994129486285
MDC-SCHN,,,,,,,,,
MDC-AMG,,,,,,,,,
MDC-LANC,,,,,,,,,
MDC-ON,,,,,,,,,
MDC-SLG,,,,,,,,,
MDC-SWM,,,,,,,,,
MDC-TCBI,1575.5383868235788,1575.9028165389714,1566.9078405270934,6.87329396076402,0.6211102668530655,0.7921380134410494,0.38580169593082714,0.3576045707799879,0.5650121646165339
MDC-PNW,,,,,,,,,
MDC-NWBI,-2069.8113441027617,-2070.2814682403787,-2081.179952103714,3.0622356227314356,0.10350120411693037,0.7888048226840974,0.06491929700943383,0.055889180414875936,0.6013630416042924
MDC-NJR,,,,,,,,,
MDC-GFF,-283.90331447676476,-279.8503049342604,-279.6410218102593,2.908940436139627,0.2931711068978006,0.9610375562010195,0.17342919080727373,0.11826656989388067,0.6868277088096234
MDC-KOP,,,,,,,,,
MDC-JNPR,,,,,,,,,
MDC-HA,,,,,,,,,
MDC-CVI,,,,,,,,,
MDC-ISBC,,,,,,,,,
MDC-NXGN,,,,,,,,,
MDC-ASTE,1883.9768228310331,1886.8899278741546,1883.4776225102737,14.288970984388461,0.7843287277593983,0.842370440230772,0.4290371927255669,0.4417110252166213,0.5059671216858296
MDC-NYT,,,,,,,,,
MDC-UNM,,,,,,,,,
MDC-ABG,,,,,,,,,
MDC-SPWR,,,,,,,,,
MDC-SYNA,,,,,,,,,
MDC-GIC,,,,,,,,,
MDC-AMKR,,,,,,,,,
MDC-SKYW,,,,,,,,,
MDC-NSIT,,,,,,,,,
MDC-RUSHA,,,,,,,,,
MDC-BECN,,,,,,,,,
MDC-FHN,-1002.7287291783989,-997.4978825121407,-995.2904597799461,3.1323621450245427,0.17533204694646898,0.991638261437613,0.1390161774422603,0.04788976835455783,0.8943122977879804
MDC-PFS,-1009.2768036874394,-1010.2704502693291,-1023.3945339859933,2.6511151136476756,0.21057688717905723,0.742915931274274,0.10670756445614447,0.09816436246047312,0.5755386092313081
MDC-ENR,,,,,,,,,
MDC-RLI,,,,,,,,,
MDC-ACM,,,,,,,,,
MDC-DBD,,,,,,,,,
MDC-SNV,,,,,,,,,
MDC-UFCS,,,,,,,,,
MDC-SBGI,,,,,,,,,
MDC-WW,,,,,,,,,
MDC-SLM,,,,,,,,,
MDC-GBX,,,,,,,,,
MDC-KNX,2122.049194150075,2143.730243005568,2023.5673027798207,14.675481722434311,0.31577766378993305,0.5121830814993299,0.6096921553389937,0.2533243876155474,0.8845416245729734
MDC-CLB,,,,,,,,,
MDC-EQT,,,,,,,,,
MDC-ALE,,,,,,,,,
MDC-APOG,,,,,,,,,
MDC-WABC,,,,,,,,,
MDC-QRTEA,,,,,,,,,
MDC-SSB,,,,,,,,,
MDC-UHAL,,,,,,,,,
MDC-HRI,,,,,,,,,
MDC-KALU,,,,,,,,,
MDC-AZZ,,,,,,,,,
MDC-CBSH,,,,,,,,,
MDC-FSLR,,,,,,,,,
MDC-SPR,1305.0813371301492,1308.814739690656,1311.6629099104775,7.269604291002922,0.44349143043596845,0.9948977314249874,0.437611675356642,0.15216387731165285,0.8923815893227011
MDC-KMPR,,,,,,,,,
MDC-THO,,,,,,,,,
MDC-ACHC,,,,,,,,,
MDC-M,,,,,,,,,
MDC-USM,,,,,,,,,
MDC-LTC,,,,,,,,,
MDC-SAFT,,,,,,,,,
MDC-CMC,130.77536939169352,142.8785596515313,134.46135192132772,7.184850119079081,0.280627887319498,0.9702823004873491,0.2568997056142767,0.02314510868838392,0.9920671224008923
MDC-MLI,368.51934339846287,367.9084394904454,364.03010793812257,3.0381101587199026,0.37153731859513384,0.871879790534759,0.21452090839276444,0.19387563436760258,0.566745405476115
MDC-XRX,,,,,,,,,
MDC-INT,,,,,,,,,
MDC-NHI,,,,,,,,,
MDC-RCII,,,,,,,,,
MDC-DEI,,,,,,,,,
MDC-SCL,,,,,,,,,
MDC-WWW,,,,,,,,,
MDC-BC,,,,,,,,,
MDC-MTG,,,,,,,,,
MDC-SWN,2403.408926735346,2406.3522015956087,2406.840132733899,27.20044438934538,0.7700876432767509,0.9651254225631153,0.6637014259301134,0.4447228823419136,0.6938866546775152
MDC-JWN,,,,,,,,,
MDC-SRCL,,,,,,,,,
MDC-BCO,,,,,,,,,
MDC-CMP,,,,,,,,,
MDC-TOL,,,,,,,,,
MDC-HNI,,,,,,,,,
MDC-MIC,,,,,,,,,
MDC-CORE,,,,,,,,,
MDC-PRGO,,,,,,,,,
MDC-WEN,,,,,,,,,
MDC-TGNA,,,,,,,,,
MDC-MAC,,,,,,,,,
MDC-CACI,,,,,,,,,
MDC-EBIX,,,,,,,,,
MDC-RGR,,,,,,,,,
MDC-LAZ,,,,,,,,,
MDC-SFNC,,,,,,,,,
MDC-HLX,1157.5761204639095,1159.4719081069993,1159.7668070723957,3.324154243440213,0.5235961228382693,0.9659100068736136,0.3620248470231783,0.23126858184957633,0.7137072908968292
MDC-AUB,,,,,,,,,
MDC-FUL,,,,,,,,,
MDC-TILE,,,,,,,,,
MDC-WNC,,,,,,,,,
AMKR-GCO,,,,,,,,,
AMKR-CRS,2356.8899346545154,2358.2014018065865,2357.3064299427415,4.732248946507623,2.477377967879434,0.9037949175390538,0.559927104278548,0.54227620971465,0.5283097408924381
AMKR-SCHN,2355.148532979869,2356.9948066063216,2354.1018392598853,24.70336264970995,2.7067611708142287,0.8624153075902596,0.5520100089150566,0.5485729889332297,0.5209289284067923
AMKR-AMG,,,,,,,,,
AMKR-LANC,,,,,,,,,
AMKR-ON,,,,,,,,,
AMKR-SLG,,,,,,,,,
AMKR-SWM,,,,,,,,,
AMKR-TCBI,,,,,,,,,
AMKR-PNW,,,,,,,,,
AMKR-NWBI,-2087.246851269196,-2087.1550454290877,-2099.0306288940496,3.373022306907277,0.255298358071163,0.8133762891387951,0.06713515031571365,0.051978839485280065,0.6478720974469742
AMKR-NJR,,,,,,,,,
AMKR-GFF,-268.5666884420318,-261.03715670717065,-263.71261913232775,3.99383996673215,0.6809610253775681,0.9568768482215818,0.18873258500279816,0.09564845415996312,0.799167702029546
AMKR-KOP,,,,,,,,,
AMKR-JNPR,,,,,,,,,
AMKR-HA,,,,,,,,,
AMKR-CVI,,,,,,,,,
AMKR-ISBC,,,,,,,,,
AMKR-NXGN,,,,,,,,,
AMKR-ASTE,1852.388987393466,1854.2976080901344,1847.4794415152292,16.357743040018647,1.9881619163784838,0.8748852603460053,0.48100724844388704,0.36670425543303686,0.6473139283638295
AMKR-NYT,,,,,,,,,
AMKR-UNM,,,,,,,,,
AMKR-ABG,1463.368667710305,1465.2915981156448,1460.9483414195481,2.8068371567172417,1.560607450764216,0.8365523037265066,0.3533986617590468,0.35233926961114537,0.5227995704511748
AMKR-SPWR,,,,,,,,,
AMKR-SYNA,,,,,,,,,
AMKR-GIC,,,,,,,,,
AMKR-MDC,,,,,,,,,
AMKR-SKYW,,,,,,,,,
AMKR-NSIT,,,,,,,,,
AMKR-RUSHA,,,,,,,,,
AMKR-BECN,,,,,,,,,
AMKR-FHN,-996.2965197552403,-993.39042731837,-991.5789993569075,3.734266994899193,0.416536263597134,0.9818909241851778,0.1273522777707193,0.07402914035957744,0.749151553285065
AMKR-PFS,-996.0172869826275,-996.4979016386002,-1002.9347022352912,3.4102824423661513,0.491223319025062,0.9189665032607547,0.12641851148859445,0.073982917414668,0.7526670987649531
AMKR-ENR,,,,,,,,,
AMKR-RLI,,,,,,,,,
AMKR-ACM,,,,,,,,,
AMKR-DBD,1087.365730017155,1088.918853319445,1089.038153182276,14.349318046972197,1.2466813075630712,0.968155122873963,0.35875522009627675,0.2080875937469064,0.7512729582761559
AMKR-SNV,,,,,,,,,
AMKR-UFCS,,,,,,,,,
AMKR-SBGI,,,,,,,,,
AMKR-WW,,,,,,,,,
AMKR-SLM,,,,,,,,,
AMKR-GBX,,,,,,,,,
