,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
CRS-NYT,,,,,,,,,
CRS-UNM,,,,,,,,,
CRS-ABG,,,,,,,,,
CRS-SPWR,,,,,,,,,
CRS-SYNA,,,,,,,,,
CRS-GIC,,,,,,,,,
CRS-MDC,,,,,,,,,
CRS-AMKR,,,,,,,,,
CRS-SKYW,,,,,,,,,
CRS-NSIT,,,,,,,,,
CRS-RUSHA,,,,,,,,,
CRS-BECN,,,,,,,,,
CRS-FHN,,,,,,,,,
CRS-PFS,,,,,,,,,
CRS-ENR,,,,,,,,,
CRS-RLI,,,,,,,,,
CRS-ACM,,,,,,,,,
CRS-DBD,937.3463720366127,940.9317088244364,937.055786538509,15.432617683202974,0.2954417804512006,0.9882735865581348,0.37613488167488596,-0.07992413964629767,0.9570418286603379
CRS-SNV,1303.6965087424276,1305.6531626329217,1308.8012419098434,12.80080767285729,0.19377312929845344,0.9839429170388808,0.34273328689732374,0.3107753459836356,0.5507806835887511
CRS-UFCS,,,,,,,,,
CRS-SBGI,,,,,,,,,
CRS-WW,3476.2313369741637,3477.0298142394017,3480.4211620963256,15.351417530857873,0.522295849613047,0.994935211159204,1.1648487961545722,0.6940208199266374,0.7385073395130305
CRS-SLM,,,,,,,,,
CRS-GBX,,,,,,,,,
CRS-KNX,2091.4463431821696,2101.5295709765314,1986.1644124958234,15.807083593111393,0.19336151126653797,0.5128760124655116,0.5953257558495026,0.25604737629399005,0.87724838007571
CRS-CLB,,,,,,,,,
CRS-EQT,,,,,,,,,
CRS-ALE,,,,,,,,,
CRS-APOG,,,,,,,,,
CRS-WABC,,,,,,,,,
CRS-QRTEA,,,,,,,,,
CRS-SSB,,,,,,,,,
CRS-UHAL,,,,,,,,,
CRS-HRI,,,,,,,,,
CRS-KALU,,,,,,,,,
CRS-AZZ,,,,,,,,,
CRS-CBSH,,,,,,,,,
CRS-FSLR,,,,,,,,,
CRS-SPR,1183.126968640926,1185.9867130088176,1185.976644206962,9.364319241633359,0.2671655958400438,0.9923003352401446,0.435055449890318,-0.01225039235768243,0.9992107897850424
CRS-KMPR,,,,,,,,,
CRS-THO,,,,,,,,,
CRS-ACHC,,,,,,,,,
CRS-M,,,,,,,,,
CRS-USM,,,,,,,,,
CRS-LTC,,,,,,,,,
CRS-SAFT,,,,,,,,,
CRS-CMC,,,,,,,,,
CRS-MLI,146.29412507064535,146.25820772350528,145.76132970967308,4.833867488073695,0.2201526292705432,0.9512559762044114,0.21139336187663804,0.1503272883715684,0.6696241391483406
CRS-XRX,,,,,,,,,
CRS-INT,,,,,,,,,
CRS-NHI,,,,,,,,,
CRS-RCII,,,,,,,,,
CRS-DEI,,,,,,,,,
CRS-SCL,,,,,,,,,
CRS-WWW,,,,,,,,,
CRS-BC,,,,,,,,,
CRS-MTG,,,,,,,,,
CRS-SWN,2225.156920413283,2226.3883730888065,2228.5795581695447,30.220618215295175,0.5016390797872387,0.9667761343051537,0.5391688623857903,0.4937950799028985,0.5479937444954596
CRS-JWN,,,,,,,,,
CRS-SRCL,,,,,,,,,
CRS-BCO,,,,,,,,,
CRS-CMP,,,,,,,,,
CRS-TOL,,,,,,,,,
CRS-HNI,,,,,,,,,
CRS-MIC,,,,,,,,,
CRS-CORE,,,,,,,,,
CRS-PRGO,,,,,,,,,
CRS-WEN,,,,,,,,,
CRS-TGNA,,,,,,,,,
CRS-MAC,,,,,,,,,
CRS-CACI,2372.3729447490964,2376.9619069569544,2374.437001816613,35.98358384189942,0.48056956206096807,0.9860543837199321,0.7832620482797856,-0.0672856652442018,0.9927251989637014
CRS-EBIX,1662.0454141912796,1664.4884130302432,1665.6180172715162,6.403629651392876,0.21775181154091716,0.9948954946848982,0.5502318417072487,-0.0502796863290019,0.9917399694914474
CRS-RGR,,,,,,,,,
CRS-LAZ,,,,,,,,,
CRS-SFNC,,,,,,,,,
CRS-HLX,810.5749823152364,811.0372853404268,813.8341413750363,5.182981619197762,0.35161334902424346,0.9815275843600166,0.2784764804216377,0.23076821889883295,0.5951070718976343
CRS-AUB,,,,,,,,,
CRS-FUL,,,,,,,,,
CRS-TILE,,,,,,,,,
CRS-WNC,,,,,,,,,
SCHN-GCO,,,,,,,,,
SCHN-CRS,,,,,,,,,
SCHN-AMG,3745.419980370819,3750.381794331368,3745.03493464233,10.170815235659319,1.2533339869835243,0.7995584606440937,1.0709644988793767,1.1269890503434719,0.5009065223659521
SCHN-LANC,,,,,,,,,
SCHN-ON,-664.4917592932859,-658.7036888678774,-658.6949876580766,3.2315781019792946,0.10399382686715491,0.9842506797934727,0.16699418953232906,0.048296187285521194,0.9233754659719354
SCHN-SLG,,,,,,,,,
SCHN-SWM,,,,,,,,,
SCHN-TCBI,,,,,,,,,
SCHN-PNW,,,,,,,,,
SCHN-NWBI,-2084.1163145510045,-2083.082400811274,-2096.0495826364186,2.8355230898619785,0.046465628189778924,0.7353355983998291,0.0622270910856842,0.05794939123767509,0.5706214584252303
SCHN-NJR,,,,,,,,,
SCHN-GFF,-340.11158990091826,-335.8749227353221,-336.6291149067757,1.992534404037757,0.1390635189358128,0.9278649908151727,0.15524114806760536,0.1324224590814827,0.5877565834892411
SCHN-KOP,,,,,,,,,
SCHN-JNPR,,,,,,,,,
SCHN-HA,,,,,,,,,
SCHN-CVI,,,,,,,,,
SCHN-ISBC,,,,,,,,,
SCHN-NXGN,,,,,,,,,
SCHN-ASTE,1645.3618984751702,1645.4271216675688,1639.1405633157153,8.269384997380058,0.46702257627386706,0.8471168492982512,0.41018547944487,0.35929529686171474,0.5852712932125531
SCHN-NYT,,,,,,,,,
SCHN-UNM,,,,,,,,,
SCHN-ABG,1500.764438245884,1503.6232310596627,1499.5968582385904,0.3361362048348546,0.2634459553489331,0.8257815329763244,0.3514910381547016,0.36776502579286663,0.5001547607609494
SCHN-SPWR,,,,,,,,,
SCHN-SYNA,,,,,,,,,
SCHN-GIC,,,,,,,,,
SCHN-MDC,,,,,,,,,
SCHN-AMKR,,,,,,,,,
SCHN-SKYW,,,,,,,,,
SCHN-NSIT,,,,,,,,,
SCHN-RUSHA,,,,,,,,,
SCHN-BECN,,,,,,,,,
SCHN-FHN,,,,,,,,,
SCHN-PFS,,,,,,,,,
SCHN-ENR,,,,,,,,,
SCHN-RLI,,,,,,,,,
SCHN-ACM,,,,,,,,,
SCHN-DBD,,,,,,,,,
SCHN-SNV,,,,,,,,,
SCHN-UFCS,,,,,,,,,
SCHN-SBGI,,,,,,,,,
SCHN-WW,,,,,,,,,
SCHN-SLM,,,,,,,,,
SCHN-GBX,,,,,,,,,
SCHN-KNX,2090.005081169737,2118.255719124941,1987.8560796575166,12.370373143198984,0.18733415309899848,0.5204124614770494,0.6087431323892433,0.2238583682887161,0.9067794594441542
SCHN-CLB,,,,,,,,,
SCHN-EQT,,,,,,,,,
SCHN-ALE,,,,,,,,,
SCHN-APOG,,,,,,,,,
SCHN-WABC,1400.6495760182288,1405.4938603090882,1389.4264824506142,22.21677699765842,0.3182547466732443,0.7437982894133331,0.36651469096385114,0.3124000909495532,0.6122047552451891
SCHN-QRTEA,,,,,,,,,
SCHN-SSB,,,,,,,,,
SCHN-UHAL,,,,,,,,,
SCHN-HRI,,,,,,,,,
SCHN-KALU,,,,,,,,,
SCHN-AZZ,,,,,,,,,
SCHN-CBSH,,,,,,,,,
SCHN-FSLR,,,,,,,,,
SCHN-SPR,,,,,,,,,
SCHN-KMPR,,,,,,,,,
SCHN-THO,,,,,,,,,
SCHN-ACHC,,,,,,,,,
SCHN-M,,,,,,,,,
SCHN-USM,,,,,,,,,
SCHN-LTC,,,,,,,,,
SCHN-SAFT,,,,,,,,,
SCHN-CMC,-271.19394402068724,-271.2214883950455,-276.29833878395357,3.524154119441582,0.208537175089723,0.9247304109455645,0.17925060365597062,0.10991220497008507,0.7343033812366411
SCHN-MLI,,,,,,,,,
SCHN-XRX,,,,,,,,,
SCHN-INT,1885.0453479678586,1884.6911051147767,1878.3099132992215,5.0592177529930655,0.3755729105337119,0.8752691272006754,0.4847946617960961,0.3771087917996434,0.6380194776885745
SCHN-NHI,,,,,,,,,
SCHN-RCII,,,,,,,,,
SCHN-DEI,,,,,,,,,
SCHN-SCL,,,,,,,,,
SCHN-WWW,,,,,,,,,
SCHN-BC,,,,,,,,,
SCHN-MTG,,,,,,,,,
SCHN-SWN,2232.909153953178,2237.0184506636842,2236.1063513084528,20.28223189139412,0.48214961906816745,0.9889152459171,0.7338445160451141,0.005229363367307381,0.999949504359549
SCHN-JWN,,,,,,,,,
SCHN-SRCL,,,,,,,,,
SCHN-BCO,,,,,,,,,
SCHN-CMP,,,,,,,,,
SCHN-TOL,,,,,,,,,
SCHN-HNI,,,,,,,,,
SCHN-MIC,,,,,,,,,
SCHN-CORE,,,,,,,,,
SCHN-PRGO,,,,,,,,,
SCHN-WEN,-2437.077721890662,-2438.0684278101153,-2443.6300885501987,2.050380788683248,0.031813975542666524,0.8457812032215971,0.05288967703706021,0.04815600473961957,0.5665451785223571
SCHN-TGNA,,,,,,,,,
SCHN-MAC,,,,,,,,,
SCHN-CACI,2429.1819646013696,2428.3107592159595,2430.23200530304,28.337288592627445,0.40881815381538383,0.9785127734737775,0.6765585562826285,0.4422408246369675,0.7028968095384305
SCHN-EBIX,,,,,,,,,
SCHN-RGR,,,,,,,,,
SCHN-LAZ,,,,,,,,,
SCHN-SFNC,,,,,,,,,
SCHN-HLX,,,,,,,,,
SCHN-AUB,,,,,,,,,
SCHN-FUL,,,,,,,,,
SCHN-TILE,,,,,,,,,
