,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
SRCL-NWL,2,2,1,-6019.551975622613,2,4.360581106024665,-12.57557550775602,0.0,0.0003541873575645619,0.9069446804344672,0.09022055748705071,8.047410271225289e-05,-0.028311489209451535,2.0358933807092683,-1.23750505929695,0.004559195946201553
SRCL-NFG,,,,,,,,,,,,,,,,
SRCL-PFS,1,2,1,-5798.699770331316,4,5.571192632260978,-13.406531255159791,0.0,0.0007303303446701549,0.987038761609695,0.0,0.00013476923087226434,-0.10896581332783883,7.513494127916289,-6.9440456226489005,0.0015622333752720362
SRCL-AIN,1,2,1,-5772.646502245077,8,-4.807912609208617,9.682296890640169,0.0,-0.016854582550149988,0.8618949324334284,0.0,0.00627702438662494,0.0008190741138797092,0.9078733549509579,0.09728486487978216,0.00012148636572672964
SRCL-HR,1,2,1,-5929.673608696556,4,4.822346021760845,-8.63394713627879,0.0,0.000632003828678784,0.9978820614588703,0.0,9.928239718570767e-05,-0.00748308700511925,2.2068867400838315,-1.4218469317050335,0.005782440214309689
SRCL-BRO,1,2,1,-5281.037714482094,4,3.58902172520893,0.2893521660457846,0.0,0.00016108858673108954,0.992510283308433,0.0,0.00022766621583669364,-0.003839345889026224,2.2854792625743006,-1.8819464002915183,0.004440281375652464
SRCL-CFR,1,1,1,-5956.567846789362,8,-4.7503397070235795,9.393403272548571,0.0,0.0004898520968266429,0.7894466536585603,0.0,0.005074078240117627,0.0009277201999377959,1.0034972436573806,0.0,9.242064907309589e-05
SRCL-HLF,1,2,1,-5777.9399117570765,2,-4.27020584470901,7.332177325768242,0.0,-0.0039636875385426484,0.8468535193534275,0.0,0.004242049109279214,0.00105686980576096,0.8973793562977761,0.10269950263100469,0.00010701861194201957
SRCL-AN,,,,,,,,,,,,,,,,
SRCL-MATX,,,,,,,,,,,,,,,,
SRCL-STFC,,,,,,,,,,,,,,,,
SRCL-PII,2,2,2,-5818.451165170988,7,-3.824850049371591,0.6322242539771084,6.198237279813716,0.005555050187678684,1.1863500639306395,-0.44845083084192083,0.003318018345048225,0.0009011769241886874,0.9092028429152705,0.09832427403532051,9.451681111224962e-05
SRCL-SWBI,1,2,1,-5712.1100390420925,8,-4.374192154051413,12.658245549718774,0.0,-0.010303965827569646,0.8699224818473382,0.0,0.0030981299255992065,0.0007841756683180562,0.8902964352231706,0.1140438191322275,0.00010186816612896187
SRCL-LPLA,1,2,2,-5899.025212041605,8,-4.979661296613489,33.941413349411,-22.414656487544686,0.0014815377980954558,0.8479246933270771,0.0,0.004894841542462914,0.0007278671628843242,0.9232591687735905,0.07806462060461428,9.402115458333044e-05
SRCL-UVV,,,,,,,,,,,,,,,,
SRCL-HMN,,,,,,,,,,,,,,,,
SRCL-MOH,2,2,1,-5759.1158699357065,4,3.9318904660123293,-14.217945332636601,0.0,0.0007155939815782874,0.9290831482103972,0.0633970842327507,0.00010082660221302223,-0.012902257889055635,-0.7771821021625769,1.4680470735830866,0.0027563551769848866
SRCL-SHOO,1,2,1,-5360.78455300418,3,3.7288743669688342,0.5800746080657548,0.0,0.0010366015909857923,0.996238962233285,0.0,0.0002180059786977169,-0.019432704369246274,2.640475756548618,-2.239733884328693,0.0015691919123221403
SRCL-HSC,2,2,2,-5186.111742584586,1,0.2349321659915021,143.84661986580608,128.01959086206563,1.7568014368731335e-05,0.9020879731724065,0.08075776794596123,0.00036383333831634774,0.0015856276297080364,1.613383677787378,-0.13157250881354288,4.937794366108378e-08
SRCL-CLR,2,2,2,-5676.823191028561,2,4.482715012349088,-64.26956907094663,61.9671744111721,0.000993389064497462,0.9027220003208498,0.09350065278271558,0.00014198259846651617,-0.0016136640968827873,1.864366338461295,-1.3258436947202696,0.004913850070398604
SRCL-HRI,1,2,2,-5518.198011668966,2,5.55160412922032,-79.35329355030431,76.99526242795211,0.0009511732193491452,0.9920149612065668,0.0,0.00020333941230770702,-0.03935055814465506,4.497615191911038,-4.573155798271124,0.001001523481798205
SRCL-TG,,,,,,,,,,,,,,,,
SRCL-HOG,1,1,1,-5935.177638162911,8,-4.615729056202243,8.95545122505034,0.0,0.0010936371306144582,0.8123973710890635,0.0,0.004358399810570212,0.0009727901749849942,1.0019911766392315,0.0,9.105912978882804e-05
SRCL-EBIX,2,2,2,-5791.133560940307,3,4.719392925000926,-62.719967310223375,53.40098915877079,0.0006973723190594272,0.9066260028344217,0.0916948061555587,0.00011251090233748077,-0.021324743552496826,1.9325811873982275,-1.2619831594311535,0.004485221341900479
SRCL-PAG,1,2,2,-5724.652497004534,2,4.562309633646664,-77.06832091054717,74.75826462038876,0.0005939247151457561,0.9898424438339312,0.0,0.00013914541669202623,-0.008283061096315804,2.7827964218606116,-3.069250235821279,0.0023429419170685507
SRCL-ACCO,2,2,2,-5748.903492074702,3,4.4540540710950385,-42.37782356856243,41.8372686605818,0.0012697381726687346,0.8798545541506115,0.11558248777453173,0.0001407675826421478,-0.04646356298362299,5.783427773373333,-5.655547898879881,0.0007189764315355483
SRCL-CVBF,2,2,1,-5940.908041973677,2,5.9510492518148865,-16.3842772975666,0.0,0.0007434195177592243,0.9122299575299522,0.08276910724982045,0.00011153381763094794,-0.08456832725580807,7.230958611506509,-6.774095082671394,0.0018856691973933562
SRCL-ESE,2,1,1,-5121.5743193200415,1,2.565514260972512,1.9764756799595713,0.0,0.00036113598098212046,0.904503213115774,0.08412282679772431,0.0002587046266531972,0.0012569631729537768,1.0002935963197543,0.0,0.00011392800525765471
SRCL-AVA,1,2,1,-5833.998681173253,6,-5.463836867456195,21.48913564058591,0.0,-0.01271989090819349,0.7961119093707947,0.0,0.004056424323515314,0.00030678229870083513,0.9025878153404321,0.09906562278482767,0.00010501165208193053
SRCL-SYNA,1,2,2,-5646.487386199103,6,-4.295273106292369,-7.482177679612267,19.999680036661218,-0.011595607617959153,0.776478363140712,0.0,0.004364279141477094,0.0009548903332852639,0.8753755403682852,0.1268197154593942,0.00011902043153703057
SRCL-PVH,,,,,,,,,,,,,,,,
SRCL-EPR,1,2,2,-5785.86224913206,4,-4.661813877915688,54.879833126238914,-44.73228968349666,-0.004760179675911468,0.655119082408326,0.0,0.005414712559050372,9.528778408117423e-05,0.9055801576411433,0.09547193333661852,0.00011641668007347951
SRCL-SITC,1,2,2,-5961.536068802099,8,-4.569866043216796,37.25434917858469,-29.469917253121693,-0.0009632043804092411,0.8360624687434226,0.0,0.0046459079426887425,0.0009039627091462742,0.89056053440369,0.11038402951616888,8.718369698830162e-05
SRCL-SWX,1,2,2,-5467.399891834186,1,8.83011647237304,111.34501670572746,-119.1150335034728,-0.00012160555655844533,0.9714901553812774,0.0,0.0003029505973744356,-0.08933727631223753,0.7184132760334361,0.7819288321037838,2.3029307310028047e-31
SRCL-HNI,2,2,1,-5778.237514372507,2,4.833810553301821,-19.182386250244555,0.0,0.0007584218902873857,0.8545255169976471,0.13930251161501772,0.000120671713457777,-0.005428749334825844,-1.44733608933333,2.1498431516062517,0.004309985952460885
SRCL-NNI,1,2,1,-5696.655672782931,8,-4.165650641444582,6.838976903736799,0.0,-0.005427761685348115,0.8095031258337053,0.0,0.004828594588927479,0.0009849075939540285,0.9243113013149795,0.07864558999332871,0.00012377958858870005
SRCL-CSGS,1,2,1,-5823.916000952094,8,-4.373752241953225,12.229290311661227,0.0,-0.018955882125857092,0.849610471650513,0.0,0.004309356483983275,0.0006682864235806982,0.9005089799158092,0.0997943805000645,9.844706611428637e-05
SRCL-KFY,2,2,1,-5939.792293174536,2,5.994620476150709,-19.505257938574967,0.0,0.0006548821785132457,0.8900291587634435,0.10573167080742252,0.00010712490328538421,-0.0816129734416251,4.434434772646853,-4.217346970986561,0.00300333865372412
SRCL-NYT,1,2,1,-5854.932008776388,8,-4.782067041783721,10.848763498600958,0.0,-0.0002304419786300499,0.8172066559228515,0.0,0.004582725839817378,0.0007427650817284966,0.8987315293392371,0.10408176341850606,0.00010023279503759427
SRCL-WIRE,,,,,,,,,,,,,,,,
SRCL-GBCI,2,2,1,-5910.45605673745,3,5.652517365989241,-13.641377478606953,0.0,0.0006515276088520641,0.9289633916390159,0.07114368033753493,0.00011090287714873043,-0.0405317444873311,5.761902908971251,-5.240610969215965,0.004454807674493421
SRCL-HI,1,2,2,-5798.94550017277,8,-3.7768802615346067,56.78575415464943,-52.75539515340738,-0.0017167867435234144,0.8159382600630765,0.0,0.0039861567656297656,0.00065488851697505,0.9170453147433122,0.08434470328917598,9.862608224431184e-05
SRCL-AEO,1,2,1,-5807.154488884121,2,-4.533373670369915,8.329214975848739,0.0,-0.0037279438759637157,0.8398016719310564,0.0,0.004590502283163139,0.0010446117869335123,0.8976240576366976,0.10259622916292699,0.00010635337888685978
SRCL-THG,2,2,1,-6015.089708230591,3,4.005374517280597,-5.176948591856177,0.0,0.0004892960623925496,0.8950394561310233,0.09843407472277477,8.524260135902145e-05,-0.02783063459707802,3.056574794664037,-2.4550898919819133,0.004738969776971797
SRCL-X,,,,,,,,,,,,,,,,
SRCL-LZB,1,2,2,-5693.156299009088,2,4.035434818772045,-74.88509034498408,76.46594717868201,0.0008225796161936152,0.9916978792245706,0.0,0.00013476984993480997,-0.019388859331962858,2.062433299838526,-1.7141887823779403,0.004078449658763744
SRCL-WTM,1,2,1,-5724.435858682841,1,5.358368270035077,-2.483511923929647,0.0,0.000683641710660312,0.9869609277559499,0.0,0.00016059537657150453,-0.5358589870989154,7.421701518880081,-1.329574426750395,0.0014874600172049268
SRCL-MTZ,,,,,,,,,,,,,,,,
SRCL-SANM,2,2,1,-5714.801219574051,2,4.025785588541182,-13.012475578200979,0.0,0.0008137826158756876,0.90899961063662,0.0886620245431331,9.735773135586798e-05,-0.003520033278893997,-0.49564370804105806,1.4151219654875575,0.003443158686893617
SRCL-KSS,1,2,1,-5721.337795623361,8,-3.660431397545603,3.6398904687417524,0.0,0.007641443276809962,0.6038904643579769,0.0,0.0034737928596410756,0.000682173577825876,0.8997731259860977,0.10780900231343082,0.00011721623789933258
SRCL-HOPE,2,2,1,-5870.717537143025,2,5.189473348522741,-12.972639543754081,0.0,0.000641192664774917,0.9176701533650089,0.08173414838005755,9.85126501169505e-05,-0.001311573120956977,2.3114798719406906,-1.49437324376008,0.004896380207087402
SRCL-BLMN,2,2,1,-5841.038343862781,8,-4.011093395960072,5.258727528474367,0.0,-0.0014901775234491543,0.4934361443531259,0.29474978944506347,0.004111243340907779,0.0009888073315258636,0.8990251752994212,0.10368941458965963,9.821184715862735e-05
SRCL-FCF,1,2,1,-5650.589328030174,3,5.91719035108063,-18.120725921167743,0.0,0.0005767676586712286,0.9913744077254848,0.0,0.00015697172129270896,-0.010513642710272761,4.178896680625606,-3.590520637467602,0.005457075473344624
SRCL-CRI,1,1,1,-5752.771021526796,8,-4.102301070947663,13.79566605124085,0.0,-0.016555199489902694,0.4813448379133725,0.0,0.002591341424638471,0.0006597082136329087,1.0013243418489925,0.0,0.0001108713767570969
SRCL-PBI,1,2,1,-5933.185770803072,8,-5.029869669220232,11.175706863815432,0.0,-0.011779168992299208,0.8056480442434274,0.0,0.0052029959662696044,0.0009137854019776719,0.886525125570742,0.11637148856701884,9.667606209169503e-05
SRCL-SJI,1,2,1,-5858.5837730314715,4,-4.635490414830743,8.69843365812761,0.0,-0.003676572949393525,0.8388748669047956,0.0,0.0046608734896178864,0.001039355466385783,0.8970865423344918,0.10341195015909221,0.0001005298916538401
SRCL-ATO,1,1,1,-5947.9328412358755,8,-5.718093513918762,20.93956586010832,0.0,-0.031612702776600776,0.7989402741291493,0.0,0.0044638722778447045,0.0004081384278926566,1.0014775600111272,0.0,9.880710877894312e-05
SRCL-NRG,,,,,,,,,,,,,,,,
SRCL-ZGNX,,,,,,,,,,,,,,,,
SRCL-ISBC,1,2,2,-5991.8230880833935,3,4.171688898552528,-51.649081733491094,46.10669512278324,0.0006045573590359102,0.9932257436123073,0.0,8.744034071057542e-05,-0.028568872364568954,2.9148102060550087,-2.4093794631513603,0.00446616435303944
SRCL-UNFI,1,2,2,-5924.350417605667,7,-4.8151757852426345,1.8711018865461688,8.75278037315365,-0.002112928965058103,0.8547600530827955,0.0,0.004184342555536497,0.0011760059418496234,0.8837898804420661,0.12020879119621242,8.895164577847064e-05
SRCL-AEL,1,2,2,-5908.286044988453,4,5.905945044684935,-128.11783263662878,120.51671484730996,0.0006674663518775993,0.999140522196806,0.0,0.00011645907682146086,-0.02944627164723701,3.149948029247282,-3.061101194141772,0.002483121458680441
SRCL-SBRA,2,1,2,-5877.264165177343,8,11.468577644381503,-31.84588567951761,3.7020434423188195,0.0008192546272546581,0.8990910265639371,0.10145240411811329,0.0001607634467809486,0.7203085353335812,-2.0458719709008903,0.0,1.9685411444068293e-31
SRCL-FLO,2,2,1,-5747.4227000170495,3,5.735249952424083,-16.79049995401993,0.0,0.0006585369743208103,0.9072352588867574,0.08820069625542715,0.00012516735170513068,-0.0343700468891725,4.619780742340453,-3.923618617430037,0.00526590097449519
SRCL-AZZ,2,2,2,-5623.419862882718,2,3.7360046164358254,-20.632262520049363,13.262147587383497,0.0002794883438188428,0.9244456018839244,0.06920850120152267,0.00011102584388341729,-0.004739480894494191,1.9768686051855013,-1.0765356381462539,0.003648422747791617
SRCL-ABM,1,2,1,-5769.413605575289,4,3.7887054307821004,-5.922711775417659,0.0,0.0004685379386630146,0.9995864000702406,0.0,0.00011484158094262579,-0.005979112085399821,2.336979994701988,-2.1039530471418306,0.0018811983132518478
SRCL-WMK,1,2,1,-5821.759042095509,7,-4.788580299402776,8.216468276345248,0.0,-0.01256211500729898,0.7819753758840279,0.0,0.005330158035926031,0.0009331723185641502,0.8984124278613876,0.10280762274115318,0.00011396471023327904
SRCL-MOS,,,,,,,,,,,,,,,,
SRCL-WWD,2,2,1,-5677.569263384497,4,3.76740816660485,-4.771755796138178,0.0,0.000866012375422648,0.9317657194569726,0.06808103176705771,0.00012235285951064687,-0.01329342593539351,2.8112885560522187,-2.112241034160327,0.0035364607941651863
SRCL-PLXS,1,2,1,-5780.319513701135,6,-4.661419506640972,12.404478306267706,0.0,-0.0013064848090793696,0.8263863355672807,0.0,0.004852426806898963,0.0006718321469793929,0.8571944235972637,0.14419485192342307,0.00010848147643894097
SRCL-FLS,,,,,,,,,,,,,,,,
SRCL-BXS,1,2,1,-5871.074598338441,3,4.859752771863021,-10.096756494532762,0.0,0.0005903119550971197,0.998768536678462,0.0,0.0001099052967920145,-0.01751739259171528,3.889924937483471,-3.31195099235363,0.004849888434303649
SRCL-GRPN,,,,,,,,,,,,,,,,
SRCL-PWR,,,,,,,,,,,,,,,,
SRCL-AWI,1,2,2,-5914.92055997717,8,-4.5824115570543595,43.01131429011513,-36.51533552740955,-0.0032989028886540733,0.779664479295633,0.0,0.004925747185292704,0.001070508503124793,0.9040494265175028,0.09650748695789702,9.684336067009848e-05
SRCL-WBS,2,2,1,-5939.17404836285,4,5.028676128790471,-14.416645554266248,0.0,0.0005479448857898337,0.9292094715910864,0.06822106148282714,0.00010038119649741551,-0.03372599068460455,3.352901174491052,-2.8288919670817734,0.005547732790827862
SRCL-PCH,,,,,,,,,,,,,,,,
SRCL-NWE,2,2,1,-5880.594826434662,2,6.190605026601017,-26.320054558811897,0.0,0.00034262167948655425,0.8885441264307481,0.10912688081450383,0.00011283714883546128,-0.039290240772317575,1.665502515207308,-1.048548323598041,0.005611949802126663
SRCL-UGI,,,,,,,,,,,,,,,,
SRCL-BC,,,,,,,,,,,,,,,,
SRCL-SAH,1,2,2,-5826.632902510062,8,-3.7725260373726157,23.368495618522868,-19.315882214166155,-0.0009237091801039335,0.7849856305219964,0.0,0.0035437866557087193,0.0009302364446729522,0.8898504902290227,0.11329410842378707,9.728405238491585e-05
SRCL-RPT,1,2,1,-5764.293029981437,4,-4.902187676370044,9.130454864308355,0.0,-0.010330962675242895,0.6533956706341104,0.0,0.00645421517838694,0.00046885110159067224,0.897101734579028,0.10305965257692407,0.00013232273056488196
VRTS-GPI,2,2,2,-3833.9877134439384,1,2.6899821055669193,12.442053699772506,-11.608423707219234,-0.00045024628716308895,1.1005129321450262,-0.12216962742937554,0.001533429839774736,0.01517731413703148,-0.16082942748604978,1.0988866767458845,0.00018912722981388215
VRTS-BHE,1,2,2,-4336.71641215478,7,-3.54368804910566,-9.17274492680374,13.78649896926312,-0.014799425053464307,0.964092765475141,0.0,0.004016246444696559,0.0016059321333131843,1.0249262340098824,-0.02406591930022728,0.0005108501893631133
VRTS-AROC,2,2,1,-4069.244981957869,4,-2.2136427071232796,3.812629286540859,0.0,-0.008494854407176566,1.3356852454057417,-0.36128861321180494,0.0024924574352158464,0.00266265720203775,1.014105133330709,-0.01383675095442527,0.0004305103043316735
VRTS-HBI,1,2,1,-3755.039580886819,1,1.2930965186024461,-2.1224740664739596,0.0,-0.0018830769464632299,0.9741592438802178,0.0,0.001334177844479235,0.006988423976348815,0.8821131725235603,0.11895284238519821,0.00016286477188099898
VRTS-NWL,,,,,,,,,,,,,,,,
VRTS-NFG,1,1,2,-4167.697363383676,1,-2.5496587190018603,-20.09424722663727,24.01744777178711,-0.005670014843123766,0.9683952288003299,0.0,0.0028701103396937496,0.0014350193515483677,1.0003957765977025,0.0,0.00046460087444040693
VRTS-PFS,,,,,,,,,,,,,,,,
VRTS-AIN,2,2,2,-4040.601826338556,3,-2.6271324036057626,-7.0705493550776675,10.094892326613369,-0.012229113772601802,1.2412277582157927,-0.27354268464812037,0.0033534525168022774,0.0022485941346830074,0.9826699951414497,0.01794755723756225,0.0005940311991603203
VRTS-HR,1,2,2,-4123.991967159313,4,4.320639945755551,9.400742253989534,-15.204308876621734,0.002117955558346375,0.9920836726056604,0.0,0.0008783535444097009,-0.024535653048768147,1.574957053661862,-0.5695878758084305,0.005210104108970763
VRTS-BRO,1,2,2,-3374.850904862256,4,-1.2603343706923464,-4.046851328867236,6.493118273762995,-0.00960987275519497,0.9664962322810502,0.0,0.0027068507016407245,0.005322221682836248,0.9583258908989549,0.042723164774017164,0.0007624588756226638
VRTS-CFR,2,2,1,-4382.284416972764,8,-3.3351720973344188,4.119812495919023,0.0,-0.01388273009273702,1.4233078610856609,-0.4491013344785131,0.003862008869993039,0.0015387768324860236,1.0289678327824987,-0.02865519083972856,0.0004676716252726021
VRTS-HLF,2,2,1,-4208.519209658989,7,-2.7733436812110557,3.2888406735475333,0.0,-0.011995253169055076,1.4111959678979247,-0.44942645374413814,0.0032567188558965563,0.0017417789651737493,1.0138166451531703,-0.010165670170579233,0.0005100511329656941
VRTS-AN,,,,,,,,,,,,,,,,
VRTS-MATX,,,,,,,,,,,,,,,,
VRTS-STFC,,,,,,,,,,,,,,,,
VRTS-PII,1,1,2,-4179.426400404864,7,-3.004007551302926,-14.554252702107176,17.654061977972216,-0.017274818407730368,0.9562066221785436,0.0,0.0036948110381152285,0.0021343075237865057,1.0006305822095651,0.0,0.0005990384356310035
VRTS-SWBI,1,1,2,-3534.437503814009,2,0.5473134260795759,1.8429767885242505,-1.533424790007829,-0.002724417547897054,0.9739156323446677,0.0,0.00160207745873911,0.007486763970120841,1.0095891473823375,0.0,0.00028630748971183854
VRTS-LPLA,1,1,2,-4286.950846896993,7,-3.241214274931125,-10.390128652348386,14.463766034569943,-0.014648015350956486,0.9637830109560914,0.0,0.0037588897234166517,0.0018420601620771368,1.001522206517045,0.0,0.0005094676797684715
VRTS-UVV,1,2,2,-4273.302380161612,7,-3.36438780550997,-9.38480552395626,13.590043840273482,-0.014767834461151444,0.9634457059891618,0.0,0.003966750106078137,0.0017205669481863417,1.01556335965536,-0.015034555300232455,0.0005387361307432453
VRTS-HMN,,,,,,,,,,,,,,,,
VRTS-MOH,2,2,2,-4226.954404062007,2,8.049055836091512,2.5135928425175877,-14.702322164375,0.0003012279013226687,1.0187008706578915,-0.051263843456094804,0.0012325211789691352,0.07052940712927436,1.4844859739424692,-0.35895488441798307,4.1518768064515464e-06
VRTS-SHOO,2,2,2,-3627.257567997349,3,0.7817069678974529,16.766565242093336,-10.52953184019606,-0.0013218215867515839,1.0755569562493292,-0.0924942463793812,0.001654467604415879,0.00796678137841694,0.8453934377424304,0.17512215899816752,0.00033042238047649864
VRTS-HSC,2,1,2,-3874.16290313127,4,-0.9506019970581445,-11.446001190255348,13.937824533897452,-0.003726846963158753,1.1301841834919806,-0.18492884507114127,0.0016776952483455476,0.00335968465680273,1.0073282786313678,0.0,0.00033199004804904597
VRTS-CLR,2,1,2,-3703.8906090745195,1,-0.0786751097387642,1.1750603702398232,2.2547505384745197,-0.0021747334955772406,1.1200824418735138,-0.1357213625090381,0.0013422005082679809,0.0042131740934550944,1.0013747221404203,0.0,0.00024020479174250326
VRTS-HRI,,,,,,,,,,,,,,,,
VRTS-TG,1,2,1,-4557.611189645436,4,8.532833395224122,-11.643982732786416,0.0,6.916505900681717e-05,0.9888182414834784,0.0,0.0009817343730832077,0.43940162503604085,1.9784470571129873,0.10347031618903202,9.369430907362318e-28
VRTS-HOG,1,1,1,-4434.469630394517,8,-3.6349700605442834,4.801322616488456,0.0,-0.007336709528604185,0.951454544571654,0.0,0.0052855996585067155,0.000980343483045906,1.0016177199766936,0.0,0.00048582758925421593
VRTS-EBIX,,,,,,,,,,,,,,,,
VRTS-PAG,2,2,1,-4161.274255418289,2,5.349703802094113,-5.509039970301144,0.0,0.0006780218419596227,1.0508401727476198,-0.06851437671529226,0.001349753157319597,-0.03640811660596162,0.29687216335392463,0.7757399513317011,3.4460247223117294e-07
VRTS-ACCO,1,2,2,-3328.3214115914966,4,-2.21332259075486,-14.658160243344216,18.598684962927553,-0.016224301598940675,0.9349150598762999,0.0,0.003662705957999831,0.004317532547165591,0.9139642191284665,0.0957220139255277,0.00136589350861987
VRTS-CVBF,2,1,2,-4202.906078735755,2,6.0425520540546245,-30.58267418869433,32.76013205876291,2.4183219406639228e-05,1.0281536012931412,-0.044107407865368486,0.001281908260851348,0.1450597832606224,1.1776641773765888,0.0,1.829598092427981e-06
VRTS-ESE,1,1,2,-3778.9074256100403,2,7.171455073404131,12.829238171934938,-21.73803887590103,0.0015119339193395962,0.986737280520783,0.0,0.0021566409325085444,-0.21163826060472468,1.1553645882161803,0.0,0.0001737856012177813
VRTS-AVA,2,2,2,-3713.753952149559,1,1.3638454315153858,1.066133333581269,-1.9221766265919857,-0.0006837465565740775,1.0786646560705293,-0.1031603415507476,0.0014594206320909721,0.005124870887937852,0.8263979866342908,0.18342121614607976,0.00013445965344236683
VRTS-SYNA,1,2,2,-3524.557107433276,4,-0.5584948601815423,-9.091605963134253,9.306465816329371,-0.007930253869512651,0.962689658933525,0.0,0.002064406311570751,0.0056265129618353615,0.9788130089627671,0.02501894629313739,0.0005171423695259894
VRTS-PVH,,,,,,,,,,,,,,,,
VRTS-EPR,,,,,,,,,,,,,,,,
VRTS-SITC,1,1,1,-4476.4529997417285,6,-3.8516952977102417,4.472464641958818,0.0,-0.013660157804268158,0.9522721834188279,0.0,0.005052468138970002,0.001027658778199153,1.0000366229465518,0.0,0.0005093317693681568
VRTS-SWX,2,2,1,-3708.7337750651545,2,1.8832430750604456,-1.3476515811885745,0.0,-0.001464861709284896,1.0904797519646081,-0.11426793546916514,0.0015598348809106504,0.010536566156046187,0.559705725827726,0.4507818623174913,0.00012549595026613395
VRTS-HNI,,,,,,,,,,,,,,,,
VRTS-NNI,1,2,2,-4330.536308155333,8,-3.4929211295389586,-9.799795354256343,14.294610855741722,-0.014803490199456128,0.963035401166426,0.0,0.00402695752565967,0.0016609662082524984,1.0158872092306552,-0.014924194699290183,0.0005089814125162844
VRTS-CSGS,,,,,,,,,,,,,,,,
VRTS-KFY,,,,,,,,,,,,,,,,
VRTS-NYT,1,2,2,-4228.370529923296,7,-3.1581071634868696,-10.03633816704044,13.678985934149823,-0.014780402561730372,0.9625880704444753,0.0,0.003910636178206255,0.0018303988473794483,1.0120922294116212,-0.012070008184622338,0.0005556448726573966
VRTS-WIRE,1,1,2,-4509.103688615857,8,-4.294413405828195,-17.660521366541808,23.90976232646835,-0.009044391193093304,0.9595228388260154,0.0,0.0045905395457861665,0.0008507882470338386,1.0027049248926734,0.0,0.0004828920020041813
VRTS-GBCI,2,2,1,-3654.4573392791135,2,0.44796377689062983,0.9988761071374987,0.0,-0.003183975186662945,1.1734942917587503,-0.18792350149292503,0.0014209504585288848,0.007029350436976764,0.7630904613375833,0.23883035892933435,0.00021831871090996217
VRTS-HI,2,2,1,-3615.09892936752,4,-0.5147596748724131,0.3450587114988048,0.0,-0.007242521824703114,1.2954611315299331,-0.3211664602397519,0.0017902609031031625,0.005170984981848559,0.8631368666240178,0.14284993001835744,0.0004241705460828237
VRTS-AEO,2,2,1,-3776.218493687744,8,-2.3329942499985745,4.191670019222842,0.0,-0.01260405018373576,1.2667283978639219,-0.2984220626493368,0.002922341062776211,0.0033680180469042014,0.9568080425220487,0.050374253219388265,0.0006653312068613796
VRTS-THG,,,,,,,,,,,,,,,,
VRTS-X,2,2,1,-3788.2023562993677,3,0.28149869657286364,1.6505142179809806,0.0,-0.002040852706541611,1.184119055904091,-0.19926321484164333,0.0012838755000004053,0.004803721648530802,0.8859107323736026,0.11898069292954716,0.0001634955165165938
VRTS-LZB,,,,,,,,,,,,,,,,
VRTS-WTM,,,,,,,,,,,,,,,,
VRTS-MTZ,2,1,2,-3791.5196637480667,5,-0.3639034781735079,-9.26627741666007,9.957347478921829,-0.0014830313651116702,1.166535278254269,-0.20206344800405418,0.001703792772305695,0.0019341560859238672,1.0016642653732906,0.0,0.0002554030625620144
VRTS-SANM,2,1,2,-4278.30184710973,4,3.003939592221814,28.014668970018615,-14.152872891677605,-5.375406300390465e-05,1.0460146737423912,-0.057901499555669034,0.0010457923897623845,0.04154648797674589,1.9499470786688946,0.0,0.0034519367534217417
VRTS-KSS,1,2,1,-3589.2186230852194,3,0.10160506017706307,0.7811202997652007,0.0,-0.0043314618324436695,0.9835213848728093,0.0,0.0015520646225435674,0.005900098597081028,0.9448939406236292,0.061302261396875224,0.0002983062334658236
VRTS-HOPE,2,1,1,-4302.836840656602,3,6.924242303981323,-0.29531903119060327,0.0,0.00018893095427630936,1.037702241803558,-0.047480345672781255,0.0011323329283284911,0.008681400052180998,1.0035248116617168,0.0,0.0010462103761988807
VRTS-BLMN,1,1,2,-4264.6211544654725,8,-2.6627514692869467,-10.005938615484302,12.799417128079359,-0.013760815775018267,0.9544513963617013,0.0,0.003460309978885093,0.0022266264150404115,1.0035176162441248,0.0,0.0004548791836157927
VRTS-FCF,1,2,2,-3844.2109232115304,2,3.171084674791384,8.349599043561735,-10.84879602718038,0.0028697074713049994,0.9869979823503722,0.0,0.0011767463753262685,-0.03304075413521179,1.8570504473558245,-0.8451888749306633,0.003821876409838722
VRTS-CRI,,,,,,,,,,,,,,,,
VRTS-PBI,1,1,2,-4310.020556832358,7,-3.5571547059076005,-10.68029692830843,15.110673642918766,-0.015258910128108018,0.9611195915425575,0.0,0.004210628378486146,0.0016152218811750505,1.0005819171665726,0.0,0.0005490267431309702
VRTS-SJI,1,1,2,-3645.119759579871,2,0.4247359004053477,-8.373882294391475,12.727961552303054,-0.0020068922750839354,0.9857104253778955,0.0,0.001461689673699126,0.005847968859083763,1.0061357495678591,0.0,0.0002717202549225193
VRTS-ATO,1,2,1,-4434.585872657768,1,9.4200854513417,-12.57621666800403,0.0,0.0006108918930733415,0.9800570774239814,0.0,0.0011680962039209678,0.3110100535597926,-0.2742855682312779,0.7494373115690962,4.960291633621976e-28
