,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
GME-EBIX,2,2,2,-3389.998145416767,2,1.2163440421342608,-4.535838686676171,2.6088697619372354,-0.0005078935678467823,0.905717394577529,0.07332933684832454,0.0026498060577779116,0.00343927842036075,0.897222617527845,0.10458362179559799,0.00018404314695721213
GME-PAG,,,,,,,,,,,,,,,,
GME-ACCO,1,2,2,-3298.952740179346,3,-0.8474245727475154,0.5583656404029724,-1.5934791391963312,-0.010079086412678538,0.9377148896454229,0.0,0.005249208381517977,0.004491886274797522,0.9248435055146516,0.07635762864408946,0.0009046852685132766
GME-CVBF,2,1,1,-3744.0697499457883,2,-1.8010498240051163,0.39190294728921066,0.0,-0.005198362083961169,0.6086185623774725,0.329639861569369,0.007070848491371165,0.0010263170535784979,1.0000143616032497,0.0,0.0007313820323950001
GME-ESE,2,2,2,-2978.865051594793,1,0.9503181820201607,-5.120796903717723,6.077841704100657,-0.003912595370665985,0.9486796952716574,0.03008620859870348,0.003308297841549543,0.01350768598906524,0.8510211878982545,0.14938375297857576,0.0006252860526099965
GME-AVA,,,,,,,,,,,,,,,,
GME-SYNA,1,2,1,-3816.8237928238746,4,-2.1789482955553114,0.13481621002351613,0.0,-0.013663398379405025,0.9089527187459404,0.0,0.00935912846517285,0.0020759307037996155,0.9246617150913607,0.07559460321890299,0.0008772751852286782
GME-PVH,,,,,,,,,,,,,,,,
GME-EPR,2,2,1,-3569.952319597637,3,-1.415033134126412,0.25828458402946725,0.0,-0.00801630812257731,0.7619444051817439,0.19036506806886422,0.005929900805150765,0.0025120266198287895,0.9293367879137335,0.0715656632052557,0.0007069696912838193
GME-SITC,2,2,2,-3236.9403703294256,1,1.52938775549774,-9.923326727196088,7.049067110878775,-0.0022101740867567377,0.9158103280876375,0.05224355503090905,0.0029479463494057234,0.009432382796461442,0.9119483482549384,0.09423754606925172,0.00031254083917311613
GME-SWX,1,2,1,-3863.7352917710136,1,4.926532566458552,-2.2494679154480295,0.0,-0.0008830190957501839,0.9877619128988213,0.0,0.0018128678407733985,0.06060821666256366,-0.2978468877842886,1.4126815859726634,0.0009795616302284331
GME-HNI,2,2,2,-3858.216070034354,6,-2.187026072798248,4.871398160193931,-4.60991004103774,-0.00733372008795459,0.7340538100411251,0.17276725745544042,0.009052259058975666,0.0016163031658233621,0.9224586086646411,0.07768481180450948,0.0007960848742098875
GME-NNI,2,2,2,-3384.00101423031,4,-0.9988194389205133,-6.176338075451907,5.967479655537366,-0.00620816551830701,0.7669717820514066,0.17565583877672708,0.00524334732108724,0.002688399575425709,0.9712946571047922,0.029555242846598162,0.0007297008392604691
GME-CSGS,1,1,2,-3712.955101687363,6,-1.6991589144392611,-1.2807644674123408,0.9685776283737204,-0.013659593786912123,0.9296768423417087,0.0,0.00796573864161889,0.002180323755956221,1.0011520492938357,0.0,0.0007796248863855733
GME-KFY,2,2,1,-3883.319900849002,2,-2.450904018931949,0.7319508818723974,0.0,-0.01312726857617559,0.5503697380395991,0.3661977784081927,0.010204172658193615,0.0017219374952090784,0.939002790734385,0.06106748710381282,0.0008561094723868483
GME-NYT,1,2,2,-3613.022372845113,2,-1.6728775623182637,-4.916650548021041,5.204101570216593,-0.009833286104158274,0.9378546431401052,0.0,0.007115962386991106,0.0020325464656126228,0.9470579629046014,0.05306268248635604,0.0007989598624977094
GME-WIRE,,,,,,,,,,,,,,,,
GME-GBCI,2,1,1,-4143.51220282209,1,4.620781894569706,-0.6250972490282749,0.0,0.0017125937091152493,0.9126643378526644,0.0819855500473885,0.0012443433350648528,-0.2834085228227597,1.3865146569826408,0.0,0.004153593089250563
GME-HI,,,,,,,,,,,,,,,,
GME-AEO,1,1,1,-3958.228801587698,4,6.184465546310883,-0.9789064218149919,0.0,-0.00024088342795247327,0.9861706810090947,0.0,0.0021449595487636813,0.1799346157317274,1.0624572789083029,0.0,1.9259299443872365e-33
GME-THG,,,,,,,,,,,,,,,,
GME-X,2,2,1,-3390.7995224251795,1,0.8743666330157179,-1.5100465289998617,0.0,-0.001202973332883616,0.9190657743104751,0.058111257760494084,0.00279567986992734,0.004209107715088499,0.8864855849321742,0.11495148307977843,0.00020119339430693537
GME-LZB,1,1,1,-3818.132942030551,2,3.9357863165168716,0.4384150511203423,0.0,-0.0002929886901648667,0.9878420582684858,0.0,0.001894863698735896,0.006717673753288205,1.0047042375439017,0.0,0.0008046082596884825
GME-WTM,,,,,,,,,,,,,,,,
GME-MTZ,,,,,,,,,,,,,,,,
GME-SANM,2,2,1,-3590.0156603927553,1,-1.5317342876091093,0.8851252134716567,0.0,-0.004125652887745246,0.7280007094639345,0.22583956505243918,0.006405546416053248,0.0015174547608581088,0.9313708484256225,0.0696723201139946,0.0006552755244174492
GME-KSS,1,2,1,-3482.1693220708285,6,1.130779803371468,-1.1989709577445158,0.0,-0.0002324833167692067,0.9815966392999126,0.0,0.0025300699991802765,0.0019338928709033282,0.9153251852219029,0.08691099222068743,0.00012252806456257802
GME-HOPE,1,2,2,-3304.523036974113,1,2.1965844783433104,-2.2204869375570206,0.07909841787266192,-0.0004848196820009384,0.9865176297233786,0.0,0.0020445385618828795,0.001301536290260242,0.9262897594371537,0.07716385864132036,0.0010287504802850424
GME-BLMN,,,,,,,,,,,,,,,,
GME-FCF,,,,,,,,,,,,,,,,
GME-CRI,2,2,2,-3574.68693219268,2,-1.4273418993994391,-2.880650916368407,3.529305558058585,-0.005400332985936129,0.7390302532004043,0.2205075783309951,0.0056691083976876605,0.0017060356924298607,0.9337722480911879,0.06648630581582182,0.0006571259954753736
GME-PBI,,,,,,,,,,,,,,,,
GME-SJI,1,1,2,-4162.052309356382,1,6.260518886563547,-4.621688616980767,3.4025018651637167,0.0012750028291485548,0.9906552875220247,0.0,0.0015965161664410787,-0.46632447551064,1.381376531682891,0.0,2.1209303512564435e-32
GME-ATO,1,2,1,-3636.2675391798193,1,2.8782955733343143,-0.19664622443309981,0.0,-0.0002906350116053272,0.9894418577634496,0.0,0.0019001543950709692,0.004074095059106945,0.873491631113744,0.12867507161458747,0.0008427938769987011
GME-NRG,1,2,1,-3376.0065112797447,2,0.8237098057662126,-1.3994028016131295,0.0,-0.0011758420545356363,0.9773882550723019,0.0,0.00284675396647572,0.0039406541998697545,0.8806553374277684,0.12076663766904971,0.00021437614078253625
GME-ZGNX,,,,,,,,,,,,,,,,
GME-ISBC,,,,,,,,,,,,,,,,
GME-UNFI,1,1,2,-3407.8860495931103,2,-0.6274040753585642,-4.106959750062792,3.365780231017364,-0.005708720077153199,0.9528297160564569,0.0,0.004415395900201815,0.0035859971386759584,1.0002613016678161,0.0,0.0005906013027609363
