,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
SKT-PII,1.0,2.0,2.0,-5732.289786787882,-1.8679651259917893,74.4786881175813,-66.19935857270629,0.055171088301790655,1.006608768836735,25.0046099722272,23.763707185876935,8
SKT-LPLA,1.0,1.0,2.0,-5707.399964205161,-2.149184973329349,91.41626420827231,-82.0328335902203,0.05609174350938973,0.14393665081602433,3.1638227199227886,2.6798091976130047,9
SKT-HMN,1.0,1.0,1.0,-5956.912122712363,-1.7136192737087252,11.702882548035419,0.0,0.05541596512213367,2.107073972278481,7.624251617512101,inf,9
SKT-CLR,1.0,2.0,2.0,-5711.811051736471,-2.0695474155457148,99.2352442640134,-89.63599111659578,0.056339001111414135,0.00037042729280878633,0.007835394061211316,0.005883579225298757,10
SKT-TG,2.0,1.0,2.0,-5546.694416753579,-1.6291046526633626,103.12274372943028,-98.63463172303535,0.05502303940408697,0.045038388403180196,0.5507312692181029,0.35347472307276406,9
SKT-HOG,1.0,2.0,2.0,-5674.678546407922,-1.902729397517244,79.27950589343737,-70.4757809698971,0.05582688172381116,0.7993460540596432,21.591955954813002,20.941270383549075,6
SKT-EBIX,1.0,1.0,2.0,-5736.997570486496,-1.9478002760078905,93.30423069904026,-85.27504652150287,0.054506747229054756,0.01784592396037712,0.506296016316797,0.4478635869965329,9
SKT-PAG,2.0,2.0,1.0,-6159.299457358309,-1.3651537662638624,9.576885587189288,0.0,0.05447252069658821,0.8508687736196233,2.2143996590141635,inf,8
SKT-CVBF,2.0,2.0,1.0,-5786.735786507901,-1.1540193013805022,8.787713459128733,0.0,0.05583156620410425,0.6233901025105751,2.4924641904836395,inf,9
SKT-SYNA,1.0,2.0,1.0,-5665.720830348506,1.568561420531739,-4.359165494964881,0.0,0.05327597119567994,2.314513184592386,12.469786873503665,inf,4
SKT-NNI,1.0,2.0,1.0,-5708.187788489987,-0.6388350169127259,8.477455684500637,0.0,0.05397478088655514,0.9671813593434739,3.562351365027522,inf,7
SKT-CSGS,2.0,1.0,1.0,-5723.597229891951,-1.9596684332490717,9.881339822752414,0.0,0.056351263785016606,0.6264355862207217,3.6845066067964187,inf,7
SKT-NYT,1.0,1.0,1.0,-5684.736069669692,-2.1708290959398546,10.007810287127722,0.0,0.056091274949378336,2.2309622205745834,7.271115639023036,inf,7
SKT-GBCI,2.0,1.0,1.0,-5711.880791434721,-1.1131976854233279,10.534177423238791,0.0,0.056437457994011,0.5592582931815108,4.009348726747401,inf,6
SKT-HI,2.0,2.0,2.0,-5602.3067425909285,-1.3695499144329124,65.23845171688306,-59.88930054877215,0.04957985926433667,0.08367577229320611,4.13442700210467,6.1520601404455855,9
SKT-THG,2.0,1.0,2.0,-5701.104306284706,-1.92826050253246,119.58802723159103,-112.35199557371897,0.05375447225378001,0.01944672154571893,0.3919663761301497,0.3237920197573365,9
SKT-X,1.0,1.0,2.0,-5620.300811066742,-2.178655046184648,95.7047985991465,-85.10954851400149,0.05627757975100498,0.1400086364258661,2.7260336269376366,2.278748219254651,8
SKT-WTM,1.0,1.0,2.0,-5768.863927587901,-1.899687880394605,95.76043399687848,-87.8226211019711,0.05440323941688379,0.015993746162538697,0.5155560563187641,0.45197691264605977,9
SKT-MTZ,2.0,2.0,1.0,-5617.73325574324,-2.2402787011200576,13.674217158299516,0.0,0.053815017759255575,0.3352675424192319,2.0966743126562855,inf,8
SKT-SANM,1.0,1.0,2.0,-5685.8464772135085,-1.88055354039989,103.52693192483414,-97.82545837557456,0.05116518373975552,0.10431272696610283,1.3228414407176494,1.098846098758089,9
SKT-HOPE,1.0,2.0,2.0,-5721.11736091739,-2.124253850328129,91.23212770935574,-80.78597144926724,0.05639289359296742,0.09701550512419242,1.7921770559900494,1.3420197994481364,7
SKT-FCF,1.0,2.0,1.0,-5767.412796623436,-0.9152163608815499,4.024696630020727,0.0,0.05455971307082248,2.4246837093315694,10.91491732114207,inf,9
SKT-CRI,1.0,1.0,1.0,-5737.553522577017,-1.931064983799381,16.681112207594797,0.0,0.055794339370791625,0.44881377758044616,2.528078313519059,inf,9
SKT-FLO,1.0,1.0,1.0,-5655.342238088738,-1.970906933329919,16.999828782242282,0.0,0.056438823018893594,0.2659138751708837,3.2533337356682597,inf,9
SKT-ABM,1.0,2.0,2.0,-5687.439442414605,-2.0531646549898293,80.00004186617576,-70.02518860976834,0.055751329920022206,0.09072935634399322,1.918149486711891,1.6593089251510789,9
SKT-WMK,1.0,1.0,2.0,-5675.9133911198205,-2.0351266022721584,90.89962888059867,-81.35951821254334,0.056443852764090925,0.055178668972299894,1.0479002057578928,0.7732116321661578,8
SKT-MOS,2.0,2.0,1.0,-5760.798182561819,-2.0008471618280623,9.646713607815151,0.0,0.05611987528404296,0.6210039035315509,0.523962120135771,inf,10
SKT-WWD,1.0,1.0,1.0,-5729.92236219928,-1.4143870162805892,10.347173668828962,0.0,0.05463126445051846,0.8317090606960053,3.369928526688987,inf,9
SKT-BXS,1.0,2.0,1.0,-5764.300166569397,-1.0468121149174772,10.727591289401447,0.0,0.05640496895147683,0.8324376732674745,5.721148894921303,inf,9
SKT-PWR,1.0,1.0,2.0,-5743.311848956221,-2.0573670896001186,87.58003797726691,-77.97384294784979,0.05642471100593654,0.12283749805871302,2.445351182309282,1.9587464645898385,10
SKT-WBS,1.0,1.0,1.0,-5721.624130580636,-1.2619809362270942,8.936133183037324,0.0,0.0553120679093142,3.69829353574205,16.691600736376085,inf,7
SKT-PCH,1.0,1.0,2.0,-5795.855836413783,-2.2618870893403926,126.80669771325367,-116.77403234401876,0.05484257146981312,0.06271871616602928,1.529561015970837,1.2637240533692369,8
SKT-BC,2.0,2.0,2.0,-5693.406882635697,-1.6815897571054157,90.77175123994343,-85.30417723198904,0.052713168554014984,0.07991670910880981,1.2971443625638375,1.0329211237798275,9
SRCL-GPI,1.0,2.0,2.0,-5515.336796733986,3.718591609305835,2.2848571641770885,-4.134325690599048,0.07592090420314339,0.00020023468676164805,0.005416865091899828,0.004986850944178207,10
SRCL-BHE,1.0,2.0,2.0,-5762.914605417817,-5.178830529919955,21.645232239726397,-8.074851179245067,0.11109220428885362,5.026728934039438,25.186237228538413,12.575947550442939,10
SRCL-AIN,1.0,2.0,1.0,-5772.646502245077,0.06713586173256658,0.13836274457296405,0.0,0.10556001257453684,4.837979972512778,9.679117077922259,inf,10
SRCL-CFR,1.0,1.0,1.0,-5956.567846789362,-4.803930498554477,9.186839571594682,0.0,0.1220025711321156,0.0004962986499668484,0.008008576069666791,inf,10
SRCL-PII,2.0,2.0,2.0,-5818.451165170988,-3.815519710926541,0.8901380836158332,6.282642776730976,0.1005986313641508,0.009921154471387608,0.08445958705211752,0.029473726468437232,9
SRCL-SWBI,1.0,2.0,1.0,-5712.1100390420925,-4.415565237845554,12.81986351982317,0.0,0.11251854710456673,0.00207287634702987,0.008129381493145118,inf,8
SRCL-LPLA,1.0,2.0,2.0,-5899.025212041605,-4.94437522384595,33.3244904894888,-21.656293533675584,0.12158503467834164,0.002664362434402676,0.04803740864159144,0.057761611012499686,9
SRCL-HOG,1.0,1.0,1.0,-5935.177638162911,-4.655986049530966,9.014034172171565,0.0,0.13084610088150694,0.00452797591025593,0.006164310255520385,inf,10
SRCL-AVA,1.0,2.0,1.0,-5833.998681173253,-5.331139949175814,21.570589597612837,0.0,0.08534619386691818,0.06518063623133755,0.024681477124567086,inf,10
SRCL-SYNA,1.0,2.0,2.0,-5646.487386199103,-4.310566228874171,-7.493828950348231,20.063241944125966,0.09084506476931714,0.001828838650167835,0.002424755954591182,0.0069962866756797274,10
SRCL-SITC,1.0,2.0,2.0,-5961.536068802099,-4.572327547623013,37.28654235374741,-29.504347270021086,0.13121570149436923,0.000399401236796057,0.0049879410483733054,0.0053434638785159975,10
SRCL-NNI,1.0,2.0,1.0,-5696.655672782931,-3.9187360471017305,7.34561183056466,0.0,0.10985483381388393,0.0025461043671913754,0.006421587315567745,inf,10
SRCL-CSGS,1.0,2.0,1.0,-5823.916000952094,-4.4151230864586,12.299419290480195,0.0,0.09136725206906264,0.001832133246410476,0.002327493695429518,inf,10
SRCL-NYT,1.0,2.0,1.0,-5854.932008776388,-4.811023966826485,10.894565245589837,0.0,0.1203182794936249,0.01911656973665942,0.012057120516646796,inf,9
SRCL-HI,1.0,2.0,2.0,-5798.94550017277,-3.7802373178852444,56.81281476451763,-52.78353927774124,0.10814457922888615,0.007513272725161019,0.03300846874499596,0.028828343609278797,9
SRCL-KSS,1.0,2.0,1.0,-5721.337795623361,-3.5290155261185885,3.450810110376595,0.0,0.097670533863725,0.0029156572701924005,0.005916390993302277,inf,10
SRCL-BLMN,2.0,2.0,1.0,-5841.038343862781,-3.9902305491227343,5.467546190850796,0.0,0.12836392134455535,0.0010772040766984534,0.0055854627944196145,inf,10
SRCL-CRI,1.0,1.0,1.0,-5752.771021526796,-4.123026110110839,13.88398419449981,0.0,0.06521158765106114,0.0017381230839507392,0.007413716729909545,inf,10
SRCL-PBI,1.0,2.0,1.0,-5933.185770803072,-5.0555766300906235,11.212278348871521,0.0,0.11549469889291572,0.015631103987515705,0.005904340199832947,inf,9
SRCL-ATO,1.0,1.0,1.0,-5947.932841235876,-5.73932786260361,20.961618155359464,0.0,0.08296718129315374,0.004901841463955687,0.0037765494485187184,inf,10
SRCL-UNFI,1.0,2.0,2.0,-5924.350417605667,-4.826863718342728,1.8516636696527444,8.787461353336514,0.12861148434836533,0.0008138378580150124,0.002314653497838314,0.0024242049021724133,9
SRCL-SBRA,2.0,1.0,2.0,-5877.264165177343,-4.106552353251032,-9.573110927518824,16.459750516420215,0.11724553828006194,0.07149886965733146,15.42559779520835,15.733434120555701,9
SRCL-WMK,1.0,2.0,1.0,-5821.759042095509,-4.817921892603907,8.284042519140085,0.0,0.12455927214686643,0.004156380136971718,0.00774618835837835,inf,10
SRCL-PLXS,1.0,2.0,1.0,-5780.319513701135,-4.66110625260241,12.459864685751839,0.0,0.10085399834971984,0.004787319497732432,0.0036519918427003963,inf,10
SRCL-AWI,1.0,2.0,2.0,-5914.92055997717,-4.587055962394266,43.048759346008765,-36.55210301914809,0.13185956984070765,0.0014914211830428788,0.004561364783517151,0.004264771921670052,9
SRCL-SAH,1.0,2.0,2.0,-5826.632902510062,-3.773785914266794,23.442463951980628,-19.393531592183372,0.1301398555475736,0.00011615544434971643,0.005739769200860972,0.006005366611098969,10
VRTS-BHE,1.0,2.0,2.0,-4336.71641215478,-3.647431988697381,-9.473678676893407,14.224173212847326,0.265994775675502,0.0018729553331337918,0.005493418536573206,0.007737151144943672,8
VRTS-CFR,2.0,2.0,1.0,-4382.284416972764,-2.5050533820110146,3.2963700840064902,0.0,0.26471200493540836,0.37879388149819526,0.393628296862596,inf,10
VRTS-HLF,2.0,2.0,1.0,-4208.519209658989,-2.17627754215487,2.6860426007744183,0.0,0.2581260436404861,0.3485564743058407,0.392009066428927,inf,8
VRTS-PII,1.0,1.0,2.0,-4179.426400404864,-3.178303364949686,-14.999510314081832,18.34745614491758,0.26353351311720635,0.02881114592314266,0.05682519283525922,0.09970353780691382,9
VRTS-LPLA,1.0,1.0,2.0,-4286.950846896993,-3.3576671887872327,-10.735337729711745,14.965888125907018,0.2662330083391499,4.721393246526606,7.177007296568549,1.354842295606234,9
VRTS-UVV,1.0,2.0,2.0,-4273.302380161612,-3.5149072585678884,-9.762476985305897,14.182319246131186,0.2663537367596266,0.0014479405317191876,0.003567910587680913,0.005663060889032266,9
VRTS-HOG,1.0,1.0,1.0,-4434.469630394517,-3.1805423895982488,4.302104900522955,0.0,0.24754434808967904,0.005323455690166339,0.007545882636160029,inf,10
VRTS-SITC,1.0,1.0,1.0,-4476.4529997417285,-2.60638070023304,3.089070613891101,0.0,0.262612780169185,0.4509355949555619,0.37573029850343365,inf,9
VRTS-NNI,1.0,2.0,2.0,-4330.536308155333,-3.4705215913916456,-9.792036455547297,14.268191594781896,0.26588895958763586,0.0886676172928709,0.1859431806968676,0.3053911055366927,8
VRTS-NYT,1.0,2.0,2.0,-4228.370529923296,,,,0.26608824610493853,,,,0
VRTS-WIRE,1.0,1.0,2.0,-4509.103688615857,-4.3611687580698195,-17.739475251992058,24.08397438778138,0.24949896244568673,0.003002885377871773,0.0025182127170222924,0.006675510068658281,10
VRTS-AEO,2.0,2.0,1.0,-3776.218493687744,-2.0279831995364477,3.790333527637431,0.0,0.25052963018527613,0.7019665895784003,0.8975456573973964,inf,10
VRTS-MTZ,2.0,1.0,2.0,-3791.5196637480663,,,,0.17613627373623084,,,,0
VRTS-BLMN,1.0,1.0,2.0,-4264.6211544654725,-2.7320325806914596,-10.26665215871034,13.129582714935403,0.2628570141381529,0.0011708435898400646,0.004360699650093202,0.005564178517446344,10
VRTS-PBI,1.0,1.0,2.0,-4310.020556832358,-3.416776845946828,-10.40383685997238,14.64011719890678,0.2663513348887816,0.0016103236277116922,0.004286741319584048,0.00662098123151839,10
VRTS-NRG,1.0,1.0,1.0,-4458.075143528627,-1.7604977607428762,3.5434496644099993,0.0,0.19735064618468923,0.09584853866641219,0.2061520093942426,inf,2
VRTS-ZGNX,2.0,1.0,2.0,-4195.151065586472,-2.4636837706828896,-11.935216214009184,14.200613996620138,0.2620164516045407,0.002610786555916606,0.004971952309716971,0.008085249415615755,10
VRTS-UNFI,1.0,1.0,2.0,-4357.121581206167,-3.756866612621709,-6.866067751382753,12.274540507484694,0.2618460480891929,0.0041909592160090945,0.005728720178760573,0.013370250012920299,9
VRTS-SBRA,1.0,1.0,2.0,-4275.274195333787,-3.439810684391935,-10.422184991681236,14.730484159744819,0.266354371081123,0.001756823680998401,0.004798891209119293,0.0073380658499529695,10
VRTS-WMK,1.0,2.0,2.0,-4299.763526543748,-3.207502271857277,-10.327340866497318,14.281126822551704,0.26577665729188815,0.040002259891507554,0.08261615161071573,0.13148437984889685,10
VRTS-FLS,2.0,1.0,1.0,-4312.041787804413,-2.2279615573357265,3.958745796675643,0.0,0.20118563850853668,0.2016926687211508,0.21733684421331745,inf,10
VRTS-GRPN,1.0,2.0,2.0,-4142.323704816137,,,,0.23062925408675788,,,,0
VRTS-AWI,1.0,1.0,2.0,-4358.402816479438,-3.5057665350434664,-12.194036980413271,16.336387610974562,0.26574387025222496,0.003059640340426314,0.0024561241678981746,0.00710621779347569,10
VRTS-SAH,2.0,1.0,2.0,-4378.100338870872,-3.870516427994991,-5.163781674711965,11.015295666766313,0.26498357393482436,0.014865665986291734,0.048678494313999544,0.06949984590699167,10
GPI-AIN,2.0,1.0,1.0,-5053.253610745468,2.6041430531677463,-2.883601345068093,0.0,0.13569508985091308,0.2334800717264239,0.21252164503905932,inf,10
GPI-HR,1.0,2.0,1.0,-4360.30093407378,2.6140878593681003,0.05875908842968397,0.0,0.15316677068001583,0.005856234866676971,0.008830733288512256,inf,3
GPI-GBCI,1.0,1.0,2.0,-4936.729370796787,1.5380084689365083,29.206209376165653,-24.91663024397793,0.13039307942272568,0.10555099646013305,0.10180048034106712,0.09298274514067338,9
GPI-NRG,1.0,2.0,1.0,-4821.820560107939,1.6961315327723632,3.1441546857447564,0.0,0.16248307319157138,0.1964875721664667,0.8111349688364347,inf,5
GPI-FLS,2.0,1.0,1.0,-4786.432003886486,1.0154460987480485,2.174661015028119,0.0,0.16040818497490322,0.12261841495729335,0.3170108090029848,inf,5
BHE-NWL,2.0,2.0,1.0,-5006.948381455341,1.8124632157273641,-0.8150864418461751,0.0,0.11806518997463811,0.24801474319631844,1.1313447616145391,inf,4
BHE-BRO,1.0,1.0,2.0,-5262.460471477413,2.9475190759130303,23.798705912518233,-25.207962490868212,0.11783752304655057,0.0005981484660580355,0.017332414658171032,0.015433927611456524,9
BHE-AN,2.0,1.0,2.0,-5256.102317145545,2.897715338168579,16.449524185407,-16.614409331900767,0.10614958599801727,0.00015680389236419654,0.00590921712351597,0.006880511524095302,10
BHE-MOH,1.0,2.0,1.0,-5141.554626818861,1.6670873474770518,2.00519864254489,0.0,0.12222799289034249,0.3716540437755629,1.1880899696754441,inf,9
BHE-THG,2.0,2.0,1.0,-5210.562372429431,2.23925614665878,2.3008184305704766,0.0,0.11473244549260371,0.293259116991751,1.293047953847143,inf,5
BHE-SJI,1.0,1.0,1.0,-4511.223242926699,0.048077865558888246,-3.1851337870939145,0.0,0.1139522191737361,0.028177261314814947,0.0012037221220381506,inf,4
BHE-FLO,2.0,1.0,1.0,-5167.67815439118,2.0279468059175523,3.922511318972235,0.0,0.12662775122844416,0.14017155806805445,0.41589813587885477,inf,4
BHE-WBS,1.0,1.0,1.0,-5283.361337965945,,,0.0,0.11341831801109474,,,inf,0
BHE-BC,1.0,1.0,2.0,-5324.390704538724,2.693115719923032,11.051172342502072,-11.450255223711578,0.1063413956640754,0.0007402869650517318,0.0056870178707451,0.0043893144844015805,10
AROC-HBI,1.0,1.0,2.0,-4384.436897506123,-2.701552016638318,-20.58356052932487,20.759596494877357,0.38523269126856946,0.000330243453158879,0.0064928035845289046,0.006453851709835925,9
AROC-NWL,2.0,1.0,1.0,-4319.370403162829,2.1198431538740183,0.9055326715091436,0.0,0.3728897481692207,0.2437727726240917,0.2483488880078084,inf,2
AROC-AIN,1.0,1.0,2.0,-4518.527124744521,-3.324205946357065,-20.874670074327256,21.30007089540081,0.363512972031138,3.0467852954032297,19.133005611843423,19.522883164496506,10
AROC-HR,2.0,1.0,2.0,-4212.864481685567,3.144673659172132,11.47079107003024,-11.289171050293955,0.3697585207949635,0.00034983915937845147,0.006604950399997583,0.006346650356145355,10
AROC-CFR,1.0,2.0,1.0,-4118.636285743686,2.848937824142061,-1.5757725683282002,0.0,0.2931917189549294,0.2937968270289535,0.20243560046026096,inf,10
AROC-HLF,2.0,1.0,2.0,-4466.073504786737,3.0416445226402766,23.729045246209097,-23.900643593159984,0.3810253896556654,0.0003483808186121055,0.004658991286188816,0.004615101083184603,10
AROC-AN,2.0,1.0,2.0,-4373.799447159058,0.12187420682587047,2.2880967141930793,-2.2436089294212795,0.385114607500864,2.6847884059132303,20.0289033539127,20.118039086180918,10
AROC-STFC,1.0,1.0,2.0,-4399.406744958854,-2.6618536389300687,-20.386628140064097,20.826777443523525,0.3842177125262866,0.00028631120956031255,0.0045331431085254845,0.004494684487236094,10
AROC-SWBI,1.0,1.0,2.0,-4223.980289375567,2.234693421245849,12.226075925882306,-11.318353944511994,0.3726908816510663,0.03276539040374287,0.5444365838611651,0.5225917103345311,9
AROC-LPLA,1.0,2.0,2.0,-4232.468869108491,-2.530997877830756,-29.681865615521204,30.438321881775714,0.335391235844984,2.3259203861860223,27.177868062451193,27.91416380171875,10
AROC-HMN,1.0,1.0,2.0,-4386.772052348938,-2.788176936578799,-23.474275690304914,23.45902896408753,0.3848932312670868,0.00030973735964670037,0.006318831870184736,0.006246811002301772,10
AROC-MOH,1.0,2.0,2.0,-3946.195838874528,1.7145741354628479,2.5098109358320455,-1.9004033537333078,0.3731890223118982,0.19087283093967206,3.1579347179682915,3.0815276743060966,8
AROC-SHOO,1.0,2.0,1.0,-4427.589776185305,2.2393087909200666,-0.18449863056203758,0.0,0.38402463620859384,0.12276058953236804,0.019530315292962015,inf,7
AROC-TG,1.0,1.0,2.0,-4561.45504145199,,,,0.37344659661130464,,,,0
AROC-EBIX,1.0,1.0,2.0,-4029.6667304216826,1.693190215359487,4.669914025649155,-3.7040785243258156,0.3435664007510703,0.031103683732947245,0.22025492543695865,0.21005995206529898,10
AROC-PAG,1.0,1.0,2.0,-4474.346465366749,-2.699733671084254,-26.218629459139954,26.61174223370248,0.3799541193423274,0.0003985516473963284,0.006596613535510286,0.006615308292705955,10
AROC-CVBF,1.0,1.0,1.0,-4396.632205914665,0.6465913221652074,-0.03019734792085954,0.0,0.3851612081181762,1.4538820814149376,1.1433239343641175,inf,10
AROC-AVA,1.0,1.0,2.0,-4406.093836398229,-2.714802292607068,-20.995553455377415,21.14792061114611,0.3852287549427979,0.00027312554663177135,0.005452750981292192,0.005414180736499922,10
AROC-SYNA,1.0,1.0,2.0,-4422.606915217282,-2.7716247173016795,-26.12306097462988,26.563635731352726,0.3802546523555116,0.0003566610477889651,0.00773067753781613,0.007687243312320466,10
AROC-EPR,2.0,1.0,2.0,-4403.973922205896,2.859992905842928,22.68294483474751,-22.747056495995885,0.38512841437609807,0.000317625241763173,0.00580093411309694,0.00572499483499649,10
AROC-SITC,1.0,1.0,2.0,-4380.680348631784,-2.4472526399700376,-34.20883740114164,32.75617603517666,0.37714583055822654,0.00014986441417018902,0.0047204320667663625,0.004586860186848419,10
AROC-SWX,1.0,1.0,2.0,-4370.0425408251895,-2.758571957664859,-24.085822687002057,24.03108100231331,0.384975256259498,0.00023652100259226837,0.004880053154911395,0.004809210522610994,10
AROC-HNI,1.0,1.0,2.0,-4355.785762635033,-2.8534971467343166,-24.23570477606284,24.143889503631463,0.38453536407675765,0.00033160189974405075,0.006664659690886708,0.0065924569316999065,10
AROC-CSGS,1.0,2.0,2.0,-4344.417216649748,3.202169149609789,29.10495940614303,-28.036655638993675,0.3778417254257248,0.00024086412978359116,0.0057019740864641755,0.005544489904741927,10
AROC-KFY,1.0,1.0,2.0,-4386.50638923773,-2.6961668927679208,-20.566376688989912,20.754428853931664,0.38521668488999083,0.0003081253936251224,0.006000323278022227,0.005965957805387935,10
AROC-NYT,1.0,1.0,2.0,-4362.053829720935,-3.5183767120849216,-47.309160823241534,48.24835659357545,0.35063317437409863,1.6311217894621834,14.360946958391214,15.570459915479068,9
AROC-GBCI,1.0,1.0,2.0,-4464.135672960903,-2.6610592594298925,-26.0949073051908,26.558108350884346,0.37622032545967027,2.608142782239887,25.58045187423511,26.034311662334314,10
AROC-HI,2.0,1.0,1.0,-4358.714252922568,2.042965319536602,0.5756040334592806,0.0,0.35382743690023044,1.948472034583705,0.5235786286228188,inf,10
AROC-LZB,1.0,1.0,1.0,-4433.170413655317,1.8025197971854743,-0.2000003798071664,0.0,0.38509625983633217,1.7191793623603533,0.2637277268691301,inf,10
AROC-MTZ,2.0,1.0,2.0,-4443.437158739489,2.221079395811526,0.6117122778596866,1.3046180086352184,0.3276079472528908,0.022990695829628118,0.04285827142328039,0.051707194515600644,9
AROC-SANM,1.0,2.0,2.0,-4720.420805410003,2.2561926790070626,9.832179544958144,-10.044703828283485,0.3732097428622845,0.0008684494290563299,0.004057082277493217,0.003918440699396382,10
AROC-KSS,2.0,1.0,2.0,-4371.342796901231,-2.749377933113942,-16.838152942953577,17.536057907378865,0.35997450071036585,0.0004929698618181981,0.003780082773723443,0.003730227568202045,10
AROC-HOPE,1.0,1.0,2.0,-4389.985483894136,-2.830229424947499,-22.673944470645907,22.763413905211387,0.3849983311477553,0.00012952919245787779,0.002647640138301749,0.0026246471486359143,10
AROC-FCF,2.0,1.0,2.0,-4404.587863859753,0.029925263217911002,0.6746204117593839,-0.6569178257280495,0.38429846350504276,2.4237788793474255,16.670442858213757,16.995130112215946,10
AROC-CRI,2.0,2.0,1.0,-4298.1541923789455,1.6742449842991185,0.11695017197613514,0.0,0.3824057307250887,0.03028898877393603,0.0028484087045266525,inf,10
AROC-PBI,1.0,1.0,1.0,-4383.592052097776,-1.5838741459302885,-0.5413126577688874,0.0,0.31368896724632367,1.8981896181985543,1.3100255994817855,inf,10
AROC-SJI,1.0,2.0,2.0,-4062.4873946988905,-2.789124622759976,5.3710440754406354,-2.0128370912190365,0.33186071143581536,0.0,0.0,0.0,1
AROC-ZGNX,1.0,1.0,2.0,-4444.958503459039,-3.4558554395691328,-37.303897938173705,37.53930021891341,0.38238226407489273,0.0003000304936209786,0.004995170047520664,0.005028886406355789,10
AROC-ISBC,1.0,1.0,2.0,-4378.112459107946,-2.7084021097517996,-21.077906318431396,21.168906854378715,0.38513889477200125,0.000255428805448776,0.005135978002326733,0.005090804589978152,10
AROC-AEL,2.0,2.0,2.0,-4459.328120074904,-2.8509114258412245,-34.47336725858052,34.76704513430664,0.38044924527070134,2.7991316938150153,33.81290340480912,34.101034710784994,10
AROC-ABM,1.0,1.0,2.0,-4381.950067672005,-2.7040609985552404,-20.600523642266477,20.76246364027193,0.3852322191698643,0.0002490190378749487,0.004942989109854015,0.004909931693040502,10
AROC-WMK,2.0,2.0,2.0,-4395.98006207677,3.063695345823571,26.264160112509792,-26.661194266737105,0.3758790754461354,0.00032448701263586467,0.006114908788749945,0.006154203421757974,10
AROC-MOS,1.0,1.0,1.0,-4508.521945539298,2.171292127041518,1.0277415527817908,0.0,0.3687610362062619,0.042093675086290624,0.0046423839267892035,inf,5
AROC-WWD,1.0,1.0,2.0,-4519.624352381992,2.9686903586533653,31.19890997796479,-31.456495651673627,0.3722936424405152,2.9090203488370383,30.57519220852019,30.827498075345712,10
AROC-PLXS,1.0,2.0,1.0,-4360.427662792102,-1.9121555330929834,-0.18033815420162305,0.0,0.33829506160215245,0.03838356551163655,0.013204949934511906,inf,10
AROC-BXS,1.0,1.0,1.0,-4476.713216111559,0.8005609126775172,0.16732119000550894,0.0,0.382827772826036,1.9270640331555968,0.3422705576730222,inf,10
AROC-WBS,2.0,2.0,2.0,-4291.961181039364,2.6107996120864714,17.821131024249922,-17.417685170106385,0.3815540611501023,0.0003294542728676387,0.005336941855748711,0.005195708875950563,10
AROC-PCH,2.0,1.0,2.0,-4312.712810132126,3.0482713833574167,29.342482230188505,-27.10642397205076,0.3527788841227526,0.0007893698223406142,0.0028048142991345545,0.003026698316112176,8
AROC-NWE,1.0,1.0,2.0,-4383.660984509844,-2.8457083840717265,-26.31772248838338,26.136166327194513,0.3841764550128423,0.0003131791014166041,0.006969789003472339,0.006866057096496069,9
AROC-UGI,1.0,1.0,2.0,-4405.056966549688,6.960392359500744e-05,0.0011045073604325495,-0.001096359109453715,0.3829594040241402,2.5820571925434193,18.09575622857281,18.386382638967795,10
AROC-BC,1.0,1.0,2.0,-4360.598580281118,-3.1832484004698984,-30.15850744299472,29.837523757332082,0.3834259852293798,0.00035844689901748985,0.007123595101698582,0.006969784904474334,10
AROC-SAH,1.0,1.0,1.0,-3804.66457130701,2.6218835555940743,-0.9712390390470291,0.0,0.3549776855699219,1.6807431288076824,2.078640128161202,inf,9
AROC-RPT,1.0,1.0,2.0,-4396.384006004913,-2.501072912513141,-20.662651445237895,20.85550001740089,0.3844074775581832,0.06663606130089411,0.9288351386524287,0.9267589225784753,9
HBI-NFG,1.0,2.0,1.0,-3774.854428636493,-0.8342505852807138,-0.4671188378955303,0.0,0.8971155204646065,0.31347702451119125,0.05091160257429156,inf,9
HBI-AIN,2.0,2.0,1.0,-3000.450059164444,0.05636590005653799,1.2379552663348927,0.0,0.6226697149535442,0.0,0.0,inf,1
HBI-HR,1.0,1.0,2.0,-3170.271392306417,-2.7355700318534826,-8.229371894402314,8.116794572012735,0.7748210206009069,0.023036311234293876,0.02045946081167041,0.009491572063162857,9
HBI-CFR,2.0,1.0,1.0,-3241.525747145346,-3.2689492219034615,3.61785249987788,0.0,0.7630758926174406,0.1061098567188655,0.0066238629584776405,inf,10
HBI-HLF,1.0,1.0,1.0,-3485.9440645642203,-0.4197932946899702,-0.5141282642163669,0.0,0.8917557709065563,0.22211053691045662,1.250512968596003,inf,9
HBI-PII,1.0,1.0,2.0,-3481.2577588295017,2.861034173844099,9.598486835075843,-10.597672110420477,0.6601862907465125,0.6872940636424428,4.426212822013559,4.73374625467804,9
HBI-SWBI,1.0,1.0,1.0,-3509.390251450317,-1.622971602109553,-1.3030571588506383,0.0,0.7088070415334761,0.4218801030428113,1.6354614737899327,inf,6
HBI-LPLA,1.0,1.0,1.0,-3415.0491417908515,-3.1546674692128263,2.99264880031149,0.0,0.7587922916190664,0.3254174537165984,0.21890097920259086,inf,9
