,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
FANG-UNFI,2.0,1.0,1.0,-2339.9760678907323,1.7371927718627935,-2.0237711698593244,0.0,0.9637212077414921,0.22447227245514775,0.15746576881326363,inf,8
FANG-FLO,2.0,1.0,2.0,-2517.975566456044,0.17365530503926818,1.6935532784013787,-3.811157390248191,0.9609300292876851,1.0597566004746481,1.0206534781311318,0.9860838772236635,10
FANG-WMK,1.0,2.0,2.0,-2393.9648174538875,1.3569017660848948,-2.208398308006352,-0.18428007817662906,0.968327882064574,0.14623009846159,0.18173921868818518,0.18991527575870093,8
FANG-MOS,2.0,2.0,1.0,-2078.799059629379,0.19175453488206848,2.7303555340985466,0.0,0.8281689377616253,0.3119483354870951,0.5930418979733633,inf,10
FANG-FLS,2.0,1.0,1.0,-2860.8340007149745,1.846040074204922,-2.6454092145793178,0.0,0.9744341038426209,0.2263551071146255,0.08171646633112616,inf,4
MSA-CVBF,1.0,2.0,1.0,-5063.647783205041,0.2284473185180877,3.8691328568518175,0.0,0.09378918414269154,0.19357957786166374,0.2785780212453678,inf,7
MSA-LZB,1.0,2.0,2.0,-4360.355129495797,-0.2881097327483488,15.980710418756164,-13.632245014384782,0.09465362184721003,0.1270030795896968,0.3766058411982453,0.23900907985472794,9
VG-HR,1.0,1.0,2.0,-3771.310639643904,2.5330790350142953,3.648741129078541,-3.3642452479667684,0.4284589654593946,0.0004667494430524835,0.006784055465232629,0.005683519837350501,10
VG-UVV,1.0,1.0,1.0,-3830.16659320094,2.2882013172208397,0.5114612076897067,0.0,0.444621391663654,0.043945234413361206,0.06291873582765976,inf,10
VG-ACCO,1.0,2.0,1.0,-3897.4319583498655,2.33350469193302,-0.30827473268927236,0.0,0.45500780379993644,0.048917856114206466,0.06422880454540167,inf,10
VG-ABM,2.0,1.0,2.0,-3728.588420574663,3.0766479719109463,-10.177253927435011,9.460503496346394,0.29125251249419715,0.0005059012384056803,0.003713480070933623,0.005206368551527638,10
VG-NWE,2.0,2.0,1.0,-3614.655563750653,2.6252503851373046,-2.4090551062389958,0.0,0.287608840001542,0.06546712492223022,0.12257399590976914,inf,6
MDRX-BANR,2.0,2.0,2.0,-3999.931795824323,-0.6956304772611186,-1.6164452111616934,4.327138256708068,0.1812443324392494,0.15262496922253083,0.3442658313243527,0.1843466351441264,6
BANR-MAC,1.0,2.0,1.0,-5070.632775043872,2.15705465513426,-10.474276335112114,0.0,0.13087154160029157,0.8446726627658033,2.284816596111114,inf,5
BANR-SKT,1.0,1.0,1.0,-4767.813947110435,1.6780572228600323,9.440382569570266,0.0,0.19939730771831746,3.9755437245739085,5.94691565921922,inf,3
BANR-BHE,1.0,2.0,2.0,-4959.954935832881,-3.267510257424864,-23.46050003157367,31.87024516278904,0.1786104365196463,0.05352944102055599,0.9305851919287521,1.147060722228978,9
BANR-AROC,2.0,2.0,2.0,-4532.94250537124,1.3456323866843998,-13.355378752037849,8.836439778382175,0.20073736446700863,0.8015612991136603,2.5980272596329197,3.953710634066787,9
BANR-HBI,2.0,1.0,1.0,-4617.029560402368,0.21003954001968472,2.9018687779192773,0.0,0.0935059523254482,0.5744582315138324,0.42801093576050264,inf,4
BANR-AIN,2.0,1.0,2.0,-4998.708911037006,-4.062877722736193,-11.768531026850875,20.696988949598197,0.14574035354767775,0.0020062272176406596,0.0034423626926541836,0.008728120556259177,10
BANR-CFR,1.0,1.0,2.0,-5257.728719430843,-3.4611076574605124,-40.61417349770545,50.28771701066544,0.17492745842626187,0.002537867837321324,0.019192576449193616,0.013979973069674821,10
BANR-HLF,2.0,1.0,2.0,-4525.455978412308,0.8038845587886284,-11.74328322041134,10.063461488257685,0.20029288824919028,0.5565509580510427,1.0796583340947254,2.0724804431093657,9
BANR-PII,2.0,2.0,1.0,-4628.0566234523685,-2.9555984727798807,12.578625460432598,0.0,0.16505599536336776,0.6819943975743893,1.5585099148685235,inf,8
BANR-LPLA,1.0,2.0,2.0,-5049.612782929547,3.433177688475276,54.171536721249005,-62.937186014970386,0.16598553774048272,0.05759390003657064,0.645675762813147,0.6379118611388781,9
BANR-SHOO,1.0,1.0,1.0,-4647.71679098083,0.013470617237638937,1.7023422564729502,0.0,0.1651733700138478,1.2564637514590549,1.829835120070073,inf,3
BANR-HOG,2.0,1.0,1.0,-4763.032234019975,-0.5778764892767771,0.7471225937607312,0.0,0.20248617000770175,0.8053326381669085,1.0628325666178147,inf,3
BANR-AVA,2.0,2.0,1.0,-4577.435830810671,-0.4745803413510158,3.489815609036964,0.0,0.12065276229803112,1.547928378000513,2.9190271051178085,inf,10
BANR-SWX,2.0,2.0,1.0,-4415.749440088997,-1.8254444217696744,5.405000313423514,0.0,0.11242726935479679,0.9005595691225279,0.25563625689975833,inf,8
BANR-HNI,2.0,2.0,2.0,-5090.3584789029,-2.992513122403863,19.611129942568642,-14.893522910414337,0.12721641947451473,0.01858030333096215,0.3488442483180946,0.3400089094258434,7
BANR-NNI,2.0,2.0,1.0,-4741.88160440731,-0.6944585712507048,2.110516993553068,0.0,0.18741117502975327,1.2488471693278977,3.1320078964484006,inf,10
BANR-KFY,1.0,1.0,1.0,-4828.646767083294,-1.0146679764988478,-4.002921457026286,0.0,0.07674464106592857,0.6731632390055315,2.8044045716667165,inf,6
BANR-NYT,2.0,1.0,1.0,-5152.998383709084,-1.6710592449349622,6.567904690220978,0.0,0.16038923079515732,0.08430495122644222,0.05001211921032957,inf,10
BANR-WIRE,2.0,2.0,1.0,-4870.593603947587,-2.198772159385788,4.183395529870536,0.0,0.19765560419889233,1.5595065026767356,3.302265254360407,inf,9
BANR-HI,1.0,1.0,2.0,-4819.615874618653,-3.5398600187037497,-7.113351361910891,19.183258989428648,0.1489625086946813,0.012934544477600141,0.06716674359370814,0.03267781715458421,10
BANR-AEO,1.0,2.0,1.0,-4307.583488686347,1.2424251009311993,-2.661453193516266,0.0,0.2021956127897026,0.3641790843455629,0.5629632414869578,inf,10
